T_REF [°C],TCDsignal_REF [a.u.],,T_1Mn [°C],TCDsignal_1Mn [a.u.],,T_1Cr [°C],TCDsignal_1Cr [a.u.],,T_1Fe [°C],TCDsignal_1Fe [a.u.]
742.91534,0.00514,,743.12555,0.00465,,742.50989,0.00352,,742.70361,0.00414
743.25128,0.00515,,743.46118,0.00461,,742.83942,0.00359,,743.01453,0.00425
743.5769,0.00521,,743.81506,0.00461,,743.18469,0.00353,,743.36017,0.00428
743.9032,0.00522,,744.1593,0.00458,,743.50598,0.00344,,743.70795,0.0043
744.23376,0.00514,,744.49023,0.00451,,743.85449,0.00349,,744.05829,0.00432
744.57764,0.00517,,744.8208,0.00451,,744.16248,0.00353,,744.39282,0.00426
744.91718,0.0051,,745.15857,0.00447,,744.49347,0.00349,,744.72522,0.00422
745.25458,0.00517,,745.49097,0.00442,,744.83264,0.00348,,745.0708,0.00431
745.58514,0.00524,,745.83624,0.00443,,745.18005,0.00347,,745.40283,0.00425
745.89752,0.00522,,746.17865,0.00441,,745.52753,0.00348,,745.72375,0.00424
746.2403,0.00522,,746.51288,0.00441,,745.8678,0.00347,,746.06299,0.00429
746.5863,0.0052,,746.84558,0.00437,,746.20557,0.00346,,746.40039,0.00433
746.91974,0.00517,,747.17621,0.00443,,746.52826,0.00352,,746.73456,0.00431
747.26935,0.00517,,747.51215,0.00447,,746.86743,0.00359,,747.07373,0.00431
747.61639,0.00522,,747.84131,0.00445,,747.18835,0.00363,,747.4176,0.00431
747.96204,0.00523,,748.18591,0.00448,,747.53723,0.00363,,747.76361,0.00428
748.30121,0.00517,,748.51648,0.00448,,747.88647,0.00357,,748.10962,0.00427
748.65222,0.00522,,748.82416,0.00447,,748.22351,0.00363,,748.46204,0.00429
748.96814,0.00519,,749.10498,0.00448,,748.56232,0.00358,,748.78766,0.00419
749.24286,0.00514,,749.35138,0.00446,,748.88037,0.0036,,749.08026,0.00417
749.47388,0.00508,,749.55341,0.00435,,749.15192,0.00364,,749.35358,0.00415
749.68738,0.00503,,749.74072,0.00433,,749.39618,0.00364,,749.59137,0.00411
749.85931,0.00498,,749.89795,0.00432,,749.62006,0.00362,,749.80811,0.00413
750.00366,0.00491,,750.01978,0.00428,,749.78479,0.0036,,749.97858,0.00408
750.11792,0.00492,,750.11609,0.00424,,749.94202,0.00357,,750.11255,0.00408
750.19348,0.00483,,750.18701,0.00422,,750.05487,0.00347,,750.18848,0.00407
750.26831,0.00485,,750.24646,0.00412,,750.15088,0.00345,,750.24146,0.00412
750.31134,0.00494,,750.3009,0.00406,,750.19849,0.0034,,750.28766,0.00404
750.3446,0.00486,,750.31958,0.00404,,750.23682,0.00344,,750.33746,0.00411
750.36932,0.00478,,750.31775,0.00397,,750.26514,0.0034,,750.37939,0.00405
750.36218,0.00468,,750.33246,0.00395,,750.28339,0.00338,,750.38043,0.00409
750.36719,0.0047,,750.31812,0.00403,,750.27014,0.00336,,750.3772,0.00406
750.34894,0.00466,,750.30774,0.00398,,750.24506,0.00337,,750.37402,0.00407
750.33783,0.00459,,750.2959,0.00394,,750.22498,0.00331,,750.33569,0.0041
,,,750.28479,0.00392,,750.18884,0.0034,,750.31635,0.00413
,,,750.25183,0.00389,,750.1709,0.00331,,750.29303,0.00405
,,,750.23218,0.00386,,750.10144,0.00334,,,
,,,750.19061,0.00386,,750.06775,0.00336,,,
,,,750.17236,0.00377,,750.03839,0.00326,,,
,,,750.15228,0.00377,,750.00146,0.00332,,,
,,,750.12256,0.00372,,749.97858,0.00324,,,
,,,750.09137,0.00367,,749.92877,0.00327,,,
,,,750.06812,0.00366,,749.89441,0.00322,,,
,,,750.04163,0.0036,,749.85498,0.00313,,,
,,,,,,749.83459,0.00313,,,
,,,,,,749.80524,0.0031,,,
,,,,,,749.78339,0.00309,,,
,,,,,,749.74072,0.00313,,,
,,,,,,749.73035,0.0031,,,
,,,,,,749.69739,0.00306,,,
,,,,,,749.66089,0.00301,,,
,,,,,,749.63147,0.00303,,,
,,,,,,749.61285,0.00297,,,
,,,,,,749.57849,0.00302,,,
,,,,,,749.57489,0.00298,,,
,,,,,,749.55017,0.00292,,,
,,,,,,749.53015,0.00288,,,
,,,,,,749.51904,0.0029,,,
,,,,,,749.49432,0.00287,,,
,,,,,,749.45062,0.00284,,,
,,,,,,749.44092,0.00282,,,
,,,,,,749.42987,0.00279,,,
,,,,,,749.40442,0.00283,,,
,,,,,,749.40656,0.0028,,,
,,,,,,749.3783,0.00278,,,
,,,,,,749.36499,0.0028,,,
,,,,,,749.36462,0.00273,,,
,,,,,,749.35675,0.00282,,,
,,,,,,749.34711,0.00282,,,
,,,,,,749.3335,0.00285,,,
,,,,,,749.34351,0.00282,,,
,,,,,,749.34851,0.00288,,,
,,,,,,749.35822,0.00283,,,
,,,,,,749.34851,0.00278,,,
,,,,,,749.3335,0.00283,,,
,,,,,,749.33026,0.00277,,,
,,,,,,749.31738,0.00284,,,
,,,,,,749.3335,0.00278,,,
,,,,,,749.33813,0.00281,,,
,,,,,,749.32886,0.00279,,,
,,,,,,749.32166,0.00277,,,
,,,,,,749.31525,0.00282,,,
,,,,,,749.31848,0.00276,,,
,,,,,,749.30737,0.00275,,,
,,,,,,749.30231,0.00273,,,
,,,,,,749.30518,0.00283,,,
,,,,,,749.32849,0.00285,,,
,,,,,,749.31848,0.00277,,,
,,,,,,749.31848,0.00279,,,
,,,,,,749.32025,0.00276,,,
,,,,,,749.31238,0.00278,,,
,,,,,,749.30414,0.00278,,,
,,,,,,749.32025,0.00279,,,
,,,,,,749.29913,0.00278,,,
,,,,,,749.31848,0.00278,,,
,,,,,,749.31342,0.00282,,,
,,,,,,749.34851,0.00277,,,
,,,,,,749.34851,0.00266,,,
,,,,,,749.36359,0.00268,,,
,,,,,,749.36969,0.00268,,,
,,,,,,749.38684,0.00264,,,
,,,,,,749.39618,0.00259,,,
,,,,,,749.39294,0.00268,,,
,,,,,,749.40118,0.00255,,,
,,,,,,749.43915,0.00257,,,
,,,,,,749.45959,0.00255,,,
,,,,,,749.46747,0.00257,,,
,,,,,,749.4986,0.00251,,,
,,,,,,749.50256,0.00247,,,
,,,,,,749.52008,0.00249,,,
,,,,,,749.52228,0.00248,,,
,,,,,,749.52869,0.00252,,,
,,,,,,749.547,0.00247,,,
,,,,,,749.55664,0.00252,,,
,,,,,,749.57202,0.00239,,,
,,,,,,749.5885,0.00245,,,
,,,,,,749.59497,0.00243,,,
,,,,,,749.62323,0.00242,,,
,,,,,,749.6261,0.00241,,,
,,,,,,749.63971,0.00242,,,
,,,,,,749.64478,0.00239,,,
,,,,,,749.65588,0.00242,,,
,,,,,,749.67737,0.00242,,,
,,,,,,749.68414,0.00238,,,
,,,,,,749.68237,0.00244,,,
,,,,,,749.69275,0.00238,,,
,,,,,,749.70923,0.00242,,,
,,,,,,749.72211,0.00241,,,
,,,,,,749.74896,0.00239,,,
,,,,,,749.74219,0.00245,,,
,,,,,,749.74719,0.00244,,,
,,,,,,749.74719,0.00249,,,
,,,,,,749.76044,0.00238,,,
,,,,,,749.77045,0.00238,,,
,,,,,,749.80524,0.00245,,,
,,,,,,749.81628,0.00244,,,
,,,,,,749.82135,0.00244,,,
,,,,,,749.85608,0.00249,,,
,,,,,,749.87433,0.00241,,,
,,,,,,749.88403,0.00244,,,
,,,,,,749.89795,0.00249,,,
,,,,,,749.90588,0.00248,,,
,,,,,,749.91125,0.00242,,,
,,,,,,749.93561,0.00242,,,
,,,,,,749.95746,0.00241,,,
,,,,,,749.96887,0.00237,,,
,,,,,,749.98895,0.00238,,,
,,,,,,749.98395,0.00225,,,
,,,,,,750.00653,0.00228,,,
,,,,,,750.0033,0.00234,,,
,,,,,,750.00006,0.00235,,,
,,,,,,750.00507,0.00236,,,
,,,,,,749.99359,0.00234,,,
,,,,,,749.99683,0.00239,,,
,,,,,,750.00366,0.00238,,,
,,,,,,750.02515,0.00238,,,
,,,,,,750.03192,0.0025,,,
,,,,,,750.03839,0.00245,,,
,,,,,,750.03302,0.00242,,,
,,,,,,750.03156,0.00248,,,
,,,,,,750.01508,0.00251,,,
,,,,,,750.02515,0.00242,,,
,,,,,,750.01868,0.00247,,,
,,,,,,750.02191,0.00245,,,
,,,,,,750.04126,0.00241,,,
,,,,,,750.0495,0.00243,,,
,,,,,,750.06635,0.00251,,,
,,,,,,750.07776,0.00238,,,
,,,,,,750.06775,0.00237,,,
,,,,,,750.07098,0.00246,,,
,,,,,,750.09784,0.00249,,,
,,,,,,750.09644,0.00252,,,
,,,,,,750.13257,0.0025,,,
,,,,,,750.12579,0.00249,,,
,,,,,,750.14227,0.00248,,,
,,,,,,750.16553,0.00246,,,
,,,,,,750.1344,0.00245,,,
,,,,,,750.1344,0.00242,,,
,,,,,,750.14404,0.00245,,,
,,,,,,750.14581,0.00248,,,
,,,,,,750.16736,0.00253,,,
,,,,,,750.16699,0.00237,,,
,,,,,,750.18701,0.00237,,,
,,,,,,750.19739,0.00238,,,
,,,,,,750.21674,0.00229,,,
,,,,,,750.22998,0.00229,,,
,,,,,,750.22821,0.00222,,,
,,,,,,750.22998,0.00228,,,
,,,,,,750.22821,0.00231,,,
,,,,,,750.24146,0.00234,,,
,,,,,,750.24866,0.00222,,,
,,,,,,750.25293,0.00231,,,
,,,,,,750.2569,0.00216,,,
,,,,,,750.27155,0.00223,,,
,,,,,,750.27338,0.00221,,,
,,,,,,750.27301,0.00224,,,
,,,,,,750.26514,0.00224,,,
,,,,,,750.26654,0.00221,,,
,,,,,,750.27155,0.00221,,,
,,,,,,750.27301,0.00216,,,
,,,,,,750.28839,0.00216,,,
,,,,,,750.27515,0.00215,,,
,,,,,,750.29126,0.00221,,,
,,,,,,750.2981,0.00226,,,
,,,,,,750.31812,0.00226,,,
,,,,,,750.31958,0.00221,,,
,,,,,,750.31958,0.00227,,,
,,,,,,750.33569,0.00221,,,
,,,,,,750.33569,0.00228,,,
,,,,,,750.34106,0.00228,,,
,,,,,,750.35071,0.0023,,,
,,,,,,750.35071,0.00225,,,
,,,,,,750.3457,0.0022,,,
,,,,,,750.3457,0.00218,,,
,,,,,,750.34283,0.00231,,,
,,,,,,750.3446,0.00226,,,
,,,,,,750.35608,0.0023,,,
,,,,,,750.34393,0.00226,,,
,,,,,,750.36255,0.00226,,,
,,,,,,750.36719,0.00234,,,
,,,,,,750.35394,0.00234,,,
,,,,,,750.36072,0.00236,,,
,,,,,,750.37543,0.00233,,,
,,,,,,750.38043,0.0023,,,
,,,,,,750.36542,0.00233,,,
,,,,,,750.3493,0.0023,,,
,,,,,,750.34283,0.00226,,,
,,,,,,750.3446,0.0023,,,
,,,,,,750.34894,0.00222,,,
,,,,,,750.3407,0.00225,,,
,,,,,,750.33923,0.00224,,,
,,,,,,750.33923,0.00228,,,
,,,,,,750.33246,0.00221,,,
,,,,,,750.3446,0.00218,,,
,,,,,,750.35071,0.0022,,,
,,,,,,750.35431,0.00226,,,
,,,,,,750.35394,0.00219,,,
,,,,,,750.35284,0.00218,,,
,,,,,,750.35895,0.0022,,,
,,,,,,750.34894,0.00216,,,
,,,,,,750.36395,0.0022,,,
,,,,,,750.35394,0.00223,,,
,,,,,,750.34607,0.00226,,,
,,,,,,750.3407,0.00219,,,
,,,,,,750.34283,0.00226,,,
,,,,,,750.32458,0.0022,,,
,,,,,,750.33136,0.00219,,,
,,,,,,750.33282,0.00228,,,
,,,,,,750.33136,0.00227,,,
,,,,,,750.33569,0.0022,,,
,,,,,,750.31958,0.00218,,,
,,,,,,750.32745,0.00221,,,
,,,,,,750.32635,0.00218,,,
,,,,,,750.32422,0.00214,,,
,,,,,,750.32312,0.00218,,,
,,,,,,750.32239,0.0021,,,
,,,,,,750.31598,0.00213,,,
,,,,,,750.30988,0.00207,,,
,,,,,,750.32135,0.00209,,,
,,,,,,750.30914,0.00211,,,
,,,,,,750.2981,0.0021,,,
,,,,,,750.28339,0.00208,,,
,,,,,,750.27155,0.00209,,,
,,,,,,750.29303,0.00218,,,
,,,,,,750.28625,0.00218,,,
,,,,,,750.27979,0.00217,,,
,,,,,,750.27155,0.00216,,,
,,,,,,750.26831,0.00207,,,
,,,,,,750.27515,0.00211,,,
,,,,,,750.26477,0.0021,,,
,,,,,,750.25653,0.00203,,,
,,,,,,750.26007,0.00203,,,
,,,,,,750.24146,0.00214,,,
,,,,,,750.24182,0.0021,,,
,,,,,,750.23535,0.00213,,,
,,,,,,750.24646,0.00212,,,
,,,,,,750.23035,0.00213,,,
,,,,,,750.23505,0.00208,,,
,,,,,,750.23822,0.00213,,,
,,,,,,750.24146,0.00216,,,
,,,,,,750.22357,0.00213,,,
,,,,,,750.23322,0.0022,,,
,,,,,,750.23322,0.00223,,,
,,,,,,750.24146,0.0022,,,
,,,,,,750.24329,0.00222,,,
,,,,,,750.24365,0.00227,,,
,,,,,,750.23218,0.00223,,,
,,,,,,750.23822,0.00221,,,
,,,,,,750.22498,0.00223,,,
,,,,,,750.23322,0.00221,,,
,,,,,,750.23145,0.00223,,,
,,,,,,750.21997,0.0022,,,
,,,,,,750.19885,0.0022,,,
,,,,,,750.20386,0.00215,,,
,,,,,,750.19348,0.00211,,,
,,,,,,750.18701,0.00213,,,
,,,,,,750.19202,0.00214,,,
,,,,,,750.19061,0.00216,,,
,,,,,,750.17877,0.00213,,,
,,,,,,750.18848,0.00215,,,
,,,,,,750.17523,0.00211,,,
,,,,,,750.1709,0.00208,,,
,,,,,,750.16553,0.00206,,,
,,,,,,750.15405,0.00212,,,
,,,,,,750.15588,0.00214,,,
,,,,,,750.15729,0.00208,,,
,,,,,,750.16553,0.00203,,,
,,,,,,750.17236,0.00203,,,
,,,,,,750.15588,0.00205,,,
,,,,,,750.17413,0.00199,,,
,,,,,,750.172,0.002,,,
