Tipo,T [°C],CO2 Concentration [a.u.]
REF,627.1,5.89E-07
REF,628.1,1.45E-06
REF,628.8,5.09E-07
REF,629.6,3.85E-07
REF,630.1,3.04E-06
REF,630.6,3.93E-07
REF,631,-1.57E-06
REF,631.4,3.72E-07
REF,631.9,1.55E-06
REF,632.5,-1.15E-06
REF,633.3,1.32E-06
REF,634,6.09E-07
REF,634.922829,-6.89E-07
REF,635.9,1.92E-06
REF,636.4,-5.34E-07
REF,636.9,-3.06E-06
REF,637.3,1.87E-06
REF,637.7,-8.71E-07
REF,638.1,1.00E-06
REF,638.7,-1.41E-06
REF,639.5,-7.99E-09
REF,640.2,8.91E-07
REF,641.2,-2.05E-08
REF,641.8,-1.32E-06
REF,642.7,-1.33E-07
REF,643.3,-1.45E-06
REF,643.7,2.11E-06
REF,644.1,-1.90E-06
REF,644.4,-6.50E-08
REF,645,1.39E-06
REF,645.6,-1.15E-07
REF,646.3,1.54E-06
REF,647.3,-1.70E-07
REF,648,6.11E-07
REF,648.8,-2.10E-06
REF,649.4,1.01E-07
REF,649.9,-1.17E-06
REF,650.3,-8.94E-07
REF,650.6,-1.03E-06
REF,651.1,-7.49E-07
REF,651.5,-5.53E-07
REF,652.4,-5.77E-08
REF,653.1,1.29E-06
REF,654,9.04E-07
REF,654.8,-8.45E-07
REF,655.4,1.92E-06
REF,656,2.87E-06
REF,656.3,-3.12E-06
REF,656.3385626,-1.87E-06
REF,657.2,-2.29E-06
REF,657.6,-7.24E-08
REF,658.4,-3.73E-07
REF,659.1,-6.03E-07
REF,660.1,-7.54E-07
REF,660.9419446,-6.05E-07
REF,661.6,-1.27E-06
REF,662.3,-1.09E-06
REF,662.6,4.75E-07
REF,663,-2.72E-06
REF,663.3,-3.84E-06
REF,663.9,-5.47E-07
REF,664.6,-1.30E-06
REF,665.3,6.60E-07
REF,666.2,1.54E-06
REF,666.9,2.10E-07
REF,667.8,-8.36E-07
REF,668.4,-1.74E-06
REF,668.9,-2.25E-07
REF,669.3,-3.73E-06
REF,669.6,2.13E-07
REF,670,-1.01E-06
REF,670.5,-1.12E-06
REF,671.3,-2.52E-06
REF,672.3,-1.16E-06
REF,673,1.21E-06
REF,673.9,-3.52E-06
REF,674.6,-1.66E-06
REF,675.1,-2.53E-07
REF,675.6,-2.72E-06
REF,675.8,-3.25E-07
REF,676.3,3.45E-07
REF,676.7,8.44E-07
REF,677.5,-2.01E-07
REF,678.2,-3.20E-06
REF,679.2,1.72E-07
REF,680,-2.29E-06
REF,680.7,-2.04E-06
REF,681.3,-3.50E-06
REF,681.7,-3.56E-06
REF,682,-8.78E-07
REF,682.3,-2.05E-06
REF,682.8,1.50E-07
REF,683.5,4.12E-07
REF,684.1,-1.35E-06
REF,685.1,-1.18E-06
REF,685.8,-1.20E-06
REF,686.7,-2.62E-06
REF,687.3,-1.34E-06
REF,687.7,-1.85E-06
REF,688,-1.60E-06
REF,688.3,-1.54E-06
REF,688.8,-2.40E-06
REF,689.3,1.31E-06
REF,690.1,1.35E-06
REF,691.2,-7.63E-07
REF,691.9,-1.72E-06
REF,692.8,-1.56E-06
REF,693.5,-1.76E-06
REF,693.8,-2.79E-06
REF,694.2,-3.33E-06
REF,694.5,-2.91E-06
REF,695,-3.45E-06
REF,695.6,-2.59E-06
REF,696.2,-4.95E-07
REF,697.2,-4.62E-06
REF,698,-4.76E-06
REF,698.9,2.57E-08
REF,699.5,-1.07E-06
REF,700.1,-3.19E-06
REF,700.5,-1.14E-06
REF,700.7,-3.13E-06
REF,701.1,-1.83E-06
REF,701.6,-2.88E-06
REF,702.4,-2.78E-06
REF,703.4,-1.73E-06
REF,704.2,-2.89E-06
REF,705.1,-2.33E-06
REF,705.8,-2.24E-06
REF,706.3,-1.11E-06
REF,706.7,-1.83E-06
REF,707,-1.01E-06
REF,707.4,-3.09E-06
REF,707.8,-1.44E-06
REF,708.6,-2.90E-06
REF,709.3,-1.92E-06
REF,710.4,-4.31E-06
REF,711.3,-1.44E-06
REF,711.9,-4.21E-06
REF,712.5,-5.35E-06
REF,712.8,-3.87E-06
REF,713.1,-5.53E-06
REF,713.4805434,-2.18E-06
REF,713.9,-6.62E-07
REF,714.7,-1.85E-06
REF,716.0824549,-4.10E-06
REF,716.4,-3.11E-07
REF,717.4,-2.37E-06
REF,718,-5.15E-06
REF,718.6,-2.60E-06
REF,718.9,-1.63E-06
REF,719.2,-5.72E-06
REF,719.5,-3.45E-06
REF,720,-6.21E-06
REF,720.8,-5.31E-06
REF,721.5,-2.62E-06
REF,722.5,-2.96E-06
REF,723.3,-1.79E-06
REF,724.1,-5.43E-06
REF,724.6,-2.75E-06
REF,724.9,-2.69E-06
REF,725.2,-7.87E-07
REF,725.6,-3.49E-06
REF,726.289954,-6.10E-06
REF,726.9,-2.70E-06
REF,727.6,-6.80E-06
REF,728.6,-6.58E-06
REF,729.4,-3.21E-06
REF,730.2,-3.73E-06
REF,730.8,-1.45E-06
REF,731.1,-3.42E-06
REF,731.5,-6.58E-06
REF,731.7,-2.47E-06
REF,732.3,-3.51E-06
REF,733.1,-3.13E-06
REF,733.8,-4.78E-06
REF,734.8,-5.20E-06
REF,735.5,-3.65E-06
REF,736.4,-6.02E-06
REF,736.8,-2.76E-06
REF,737.2,-3.45E-06
REF,737.6,-1.43E-06
REF,737.9,-5.51E-06
REF,738.3988502,-4.08E-06
REF,739,-4.63E-06
REF,739.9,-4.51E-06
REF,740.6,-6.60E-06
REF,741.6,-3.57E-06
REF,742.4,-2.45E-06
REF,742.8,-4.61E-06
REF,743.2,-5.30E-06
REF,743.5,-4.65E-06
REF,743.9,-7.64E-06
REF,744.4,-3.65E-06
REF,745,-4.40E-06
REF,746.2045848,-6.68E-06
REF,746.7,-4.79E-06
REF,747.6,-1.02E-06
REF,748.3,-4.20E-06
REF,748.9,-4.62E-06
REF,749.3,-5.81E-06
REF,749.6,-4.17E-06
REF,749.9,-4.14E-06
REF,750.4,-3.88E-06
REF,751.2,-5.20E-06
1Mn,30.2,5.35E-04
1Mn,30.3,5.34E-04
1Mn,30.5,5.31E-04
1Mn,30.6,5.32E-04
1Mn,30.6,5.27E-04
1Mn,30.7,5.32E-04
1Mn,30.8,5.36E-04
1Mn,31,5.36E-04
1Mn,31.1,5.36E-04
1Mn,31.3,5.30E-04
1Mn,31.4,5.36E-04
1Mn,31.6,5.34E-04
1Mn,31.7,5.36E-04
1Mn,31.9,5.35E-04
1Mn,32.1,5.45E-04
1Mn,32.2,5.45E-04
1Mn,32.4,5.41E-04
1Mn,32.5,5.44E-04
1Mn,32.8,5.51E-04
1Mn,33,5.54E-04
1Mn,33.1,5.54E-04
1Mn,33.3,5.57E-04
1Mn,33.5,5.56E-04
1Mn,33.7,5.63E-04
1Mn,34,5.61E-04
1Mn,34.3,5.62E-04
1Mn,34.5,5.70E-04
1Mn,34.8,5.68E-04
1Mn,35,5.79E-04
1Mn,35.3,5.79E-04
1Mn,35.5,5.84E-04
1Mn,35.7,5.84E-04
1Mn,36,5.89E-04
1Mn,36.3,5.95E-04
1Mn,36.6,5.95E-04
1Mn,36.9,6.04E-04
1Mn,37.2,6.04E-04
1Mn,37.5,6.13E-04
1Mn,37.8,6.12E-04
1Mn,38.1,6.17E-04
1Mn,38.4,6.28E-04
1Mn,38.7,6.30E-04
1Mn,39.1,6.38E-04
1Mn,39.3,6.43E-04
1Mn,39.7,6.45E-04
1Mn,40.1,6.53E-04
1Mn,40.4,6.58E-04
1Mn,40.7,6.58E-04
1Mn,41,6.67E-04
1Mn,41.5,6.79E-04
1Mn,41.8,6.77E-04
1Mn,42.2,6.79E-04
1Mn,42.5,6.86E-04
1Mn,42.9,6.96E-04
1Mn,43.2,7.04E-04
1Mn,43.6,7.08E-04
1Mn,44,7.09E-04
1Mn,44.3,7.26E-04
1Mn,44.8,7.22E-04
1Mn,45,7.31E-04
1Mn,45.5,7.37E-04
1Mn,45.9,7.43E-04
1Mn,46.3,7.53E-04
1Mn,46.8,7.53E-04
1Mn,47.1,7.70E-04
1Mn,47.6,7.78E-04
1Mn,47.9,7.76E-04
1Mn,48.4,7.87E-04
1Mn,48.7,7.98E-04
1Mn,49.2,8.03E-04
1Mn,49.6,8.11E-04
1Mn,50.1,8.10E-04
1Mn,50.4,8.17E-04
1Mn,50.9,8.30E-04
1Mn,51.3,8.33E-04
1Mn,51.8,8.35E-04
1Mn,52.2,8.51E-04
1Mn,52.6,8.59E-04
1Mn,53,8.67E-04
1Mn,53.4,8.72E-04
1Mn,53.9,8.78E-04
1Mn,54.3,8.84E-04
1Mn,54.8,8.95E-04
1Mn,55.2,9.03E-04
1Mn,55.7,9.06E-04
1Mn,56,9.08E-04
1Mn,56.6,9.20E-04
1Mn,57,9.33E-04
1Mn,57.4,9.34E-04
1Mn,57.8,9.40E-04
1Mn,58.3,9.45E-04
1Mn,58.7,9.54E-04
1Mn,59.2,9.58E-04
1Mn,59.7,9.67E-04
1Mn,60.1,9.65E-04
1Mn,60.6,9.84E-04
1Mn,61,9.82E-04
1Mn,61.5,9.93E-04
1Mn,61.9,0.001
1Mn,62.4,9.87E-04
1Mn,62.8,0.001
1Mn,63.4,0.00102
1Mn,63.9,0.00102
1Mn,64.3,0.00102
1Mn,64.8,0.00103
1Mn,65.2,0.00103
1Mn,65.8,0.00104
1Mn,66.2,0.00104
1Mn,66.7,0.00105
1Mn,67.1,0.00104
1Mn,67.7,0.00105
1Mn,68,0.00105
1Mn,68.5,0.00106
1Mn,69.1,0.00106
1Mn,69.5,0.00107
1Mn,70,0.00107
1Mn,70.4,0.00107
1Mn,71,0.00107
1Mn,71.4,0.00108
1Mn,72,0.00109
1Mn,72.5,0.00108
1Mn,73,0.00108
1Mn,73.4,0.00108
1Mn,73.9,0.00109
1Mn,74.3,0.00109
1Mn,74.8,0.00109
1Mn,75.4,0.00109
1Mn,75.7,0.0011
1Mn,76.3,0.0011
1Mn,76.8,0.0011
1Mn,77.3,0.0011
1Mn,77.7,0.00111
1Mn,78.3,0.0011
1Mn,78.8,0.00111
1Mn,79.3,0.0011
1Mn,79.7,0.0011
1Mn,80.3,0.0011
1Mn,80.7,0.0011
1Mn,81.2,0.00111
1Mn,81.8,0.00111
1Mn,82.2,0.0011
1Mn,82.8,0.00111
1Mn,83.3,0.0011
1Mn,83.9,0.0011
1Mn,84.2,0.0011
1Mn,84.8,0.00111
1Mn,85.4,0.0011
1Mn,85.8,0.0011
1Mn,86.3,0.0011
1Mn,86.8,0.0011
1Mn,87.3,0.00109
1Mn,87.7,0.00109
1Mn,88.3,0.00109
1Mn,88.7,0.00109
1Mn,89.3,0.00109
1Mn,89.8,0.00109
1Mn,90.3,0.00108
1Mn,90.9,0.00109
1Mn,91.4,0.00108
1Mn,91.9,0.00109
1Mn,92.3,0.00108
1Mn,92.9,0.00108
1Mn,93.3,0.00108
1Mn,93.9,0.00107
1Mn,94.5,0.00107
1Mn,94.9,0.00107
1Mn,95.6,0.00106
1Mn,96,0.00106
1Mn,96.6,0.00106
1Mn,97.1,0.00106
1Mn,97.6,0.00105
1Mn,98,0.00106
1Mn,98.6,0.00105
1Mn,99.2,0.00105
1Mn,99.6,0.00105
1Mn,100.2,0.00104
1Mn,100.7,0.00105
1Mn,101.2,0.00104
1Mn,101.7,0.00104
1Mn,102.3,0.00104
1Mn,102.7,0.00104
1Mn,103.3,0.00103
1Mn,103.8,0.00102
1Mn,104.3,0.00102
1Mn,104.8,0.00102
1Mn,105.4,0.00102
1Mn,105.8,0.00101
1Mn,106.4,0.00101
1Mn,107,0.00101
1Mn,107.4,0.00101
1Mn,108,9.98E-04
1Mn,108.5,9.93E-04
1Mn,109.1,9.91E-04
1Mn,109.5,9.94E-04
1Mn,110.1,9.90E-04
1Mn,110.6,9.85E-04
1Mn,111.1,9.72E-04
1Mn,111.6,9.77E-04
1Mn,112.1,9.78E-04
1Mn,112.6,9.73E-04
1Mn,113.2,9.66E-04
1Mn,113.8,9.67E-04
1Mn,114.3,9.61E-04
1Mn,114.8,9.58E-04
1Mn,115.3,9.48E-04
1Mn,115.9,9.51E-04
1Mn,116.3,9.48E-04
1Mn,116.9,9.49E-04
1Mn,117.3,9.42E-04
1Mn,117.9,9.41E-04
1Mn,118.4,9.41E-04
1Mn,119,9.27E-04
1Mn,119.6,9.27E-04
1Mn,120.1,9.21E-04
1Mn,120.7,9.15E-04
1Mn,121.2,9.24E-04
1Mn,121.8,9.19E-04
1Mn,122.3,9.07E-04
1Mn,122.9,9.12E-04
1Mn,123.3,8.97E-04
1Mn,123.9,9.01E-04
1Mn,124.4,9.00E-04
1Mn,125,8.94E-04
1Mn,125.6,8.95E-04
1Mn,126.1,8.91E-04
1Mn,126.8,8.89E-04
1Mn,127.3,8.85E-04
1Mn,127.9,8.78E-04
1Mn,128.4,8.80E-04
1Mn,129,8.78E-04
1Mn,129.5,8.71E-04
1Mn,130.1,8.71E-04
1Mn,130.7,8.61E-04
1Mn,131.1,8.63E-04
1Mn,131.8,8.61E-04
1Mn,132.2,8.57E-04
1Mn,132.9,8.55E-04
1Mn,133.4,8.47E-04
1Mn,134,8.51E-04
1Mn,134.5,8.41E-04
1Mn,135.2,8.38E-04
1Mn,135.8,8.38E-04
1Mn,136.3,8.37E-04
1Mn,136.8,8.30E-04
1Mn,137.3,8.26E-04
1Mn,137.9,8.31E-04
1Mn,138.4,8.25E-04
1Mn,139.1,8.24E-04
1Mn,139.8,8.21E-04
1Mn,140.3,8.14E-04
1Mn,140.9,8.04E-04
1Mn,141.5,8.03E-04
1Mn,142.1,8.00E-04
1Mn,142.6,8.00E-04
1Mn,143.2,7.96E-04
1Mn,143.7,7.90E-04
1Mn,144.2,7.78E-04
1Mn,144.7,7.90E-04
1Mn,145.4,7.78E-04
1Mn,145.8,7.83E-04
1Mn,146.5,7.74E-04
1Mn,147.1,7.73E-04
1Mn,147.6,7.72E-04
1Mn,148.3,7.62E-04
1Mn,148.8,7.64E-04
1Mn,149.5,7.54E-04
1Mn,150,7.53E-04
1Mn,150.6,7.54E-04
1Mn,151,7.51E-04
1Mn,151.6,7.50E-04
1Mn,152.3,7.44E-04
1Mn,152.8,7.36E-04
1Mn,153.5,7.36E-04
1Mn,154,7.36E-04
1Mn,154.7,7.33E-04
1Mn,155.2,7.30E-04
1Mn,155.8,7.20E-04
1Mn,156.3,7.23E-04
1Mn,156.9,7.18E-04
1Mn,157.5,7.13E-04
1Mn,158,7.12E-04
1Mn,158.6,7.03E-04
1Mn,159.1,6.99E-04
1Mn,159.8,7.07E-04
1Mn,160.3,6.96E-04
1Mn,161,6.87E-04
1Mn,161.5,6.88E-04
1Mn,162.1,6.87E-04
1Mn,162.8,6.77E-04
1Mn,163.3,6.70E-04
1Mn,164,6.75E-04
1Mn,164.4,6.73E-04
1Mn,165,6.69E-04
1Mn,165.5,6.68E-04
1Mn,166.1,6.59E-04
1Mn,166.8,6.61E-04
1Mn,167.3,6.54E-04
1Mn,168,6.58E-04
1Mn,168.5,6.44E-04
1Mn,169.2,6.45E-04
1Mn,169.7,6.44E-04
1Mn,170.3,6.35E-04
1Mn,170.9,6.31E-04
1Mn,171.4,6.33E-04
1Mn,172.1,6.33E-04
1Mn,172.6,6.24E-04
1Mn,173.3,6.21E-04
1Mn,173.7,6.16E-04
1Mn,174.4,6.15E-04
1Mn,175,6.11E-04
1Mn,175.7,5.99E-04
1Mn,176.2,6.02E-04
1Mn,176.9,5.97E-04
1Mn,177.3,5.95E-04
1Mn,178,5.91E-04
1Mn,178.5,5.93E-04
1Mn,179.1,5.90E-04
1Mn,179.7,5.86E-04
1Mn,180.2,5.86E-04
1Mn,180.9,5.80E-04
1Mn,181.4,5.77E-04
1Mn,182,5.72E-04
1Mn,182.6,5.66E-04
1Mn,183.3,5.69E-04
1Mn,184,5.64E-04
1Mn,184.5,5.58E-04
1Mn,185.1,5.59E-04
1Mn,185.5,5.50E-04
1Mn,186.2,5.53E-04
1Mn,186.6,5.49E-04
1Mn,187.3,5.44E-04
1Mn,187.8,5.40E-04
1Mn,188.5,5.43E-04
1Mn,189.2,5.37E-04
1Mn,189.7,5.36E-04
1Mn,190.4,5.30E-04
1Mn,190.9,5.25E-04
1Mn,191.6,5.26E-04
1Mn,192.1,5.24E-04
1Mn,192.7,5.23E-04
1Mn,193.2,5.18E-04
1Mn,193.8,5.08E-04
1Mn,194.5,5.13E-04
1Mn,194.9,5.08E-04
1Mn,195.6,5.01E-04
1Mn,196.2,5.02E-04
1Mn,196.9,5.00E-04
1Mn,197.4,4.98E-04
1Mn,198.2,4.94E-04
1Mn,198.8,4.90E-04
1Mn,199.3,4.83E-04
1Mn,199.9,4.77E-04
1Mn,200.4,4.80E-04
1Mn,201,4.85E-04
1Mn,201.5,4.79E-04
1Mn,202.2,4.72E-04
1Mn,202.7,4.71E-04
1Mn,203.4,4.70E-04
1Mn,204.1,4.67E-04
1Mn,204.7,4.66E-04
1Mn,205.4,4.57E-04
1Mn,205.9,4.55E-04
1Mn,206.6,4.55E-04
1Mn,207.2,4.55E-04
1Mn,207.7,4.48E-04
1Mn,208.3,4.52E-04
1Mn,208.8,4.48E-04
1Mn,209.5,4.42E-04
1Mn,210,4.46E-04
1Mn,210.8,4.41E-04
1Mn,211.3,4.41E-04
1Mn,212,4.41E-04
1Mn,212.7,4.32E-04
1Mn,213.2,4.32E-04
1Mn,213.8,4.27E-04
1Mn,214.3,4.30E-04
1Mn,214.9,4.26E-04
1Mn,215.4,4.25E-04
1Mn,216,4.26E-04
1Mn,216.5,4.24E-04
1Mn,217.2,4.18E-04
1Mn,217.8,4.20E-04
1Mn,218.5,4.11E-04
1Mn,219.2,4.18E-04
1Mn,219.7,4.12E-04
1Mn,220.5,4.09E-04
1Mn,220.9,4.12E-04
1Mn,221.5,3.98E-04
1Mn,222.1,4.07E-04
1Mn,222.7,4.09E-04
1Mn,223.2,3.96E-04
1Mn,223.9,3.98E-04
1Mn,224.4,3.98E-04
1Mn,225.1,3.90E-04
1Mn,225.8,3.92E-04
1Mn,226.4,3.88E-04
1Mn,227,3.97E-04
1Mn,227.6,3.91E-04
1Mn,228.2,3.82E-04
1Mn,228.7,3.86E-04
1Mn,229.3,3.82E-04
1Mn,229.8,3.81E-04
1Mn,230.5,3.81E-04
1Mn,231.1,3.79E-04
1Mn,231.7,3.82E-04
1Mn,232.4,3.77E-04
1Mn,233,3.78E-04
1Mn,233.7,3.69E-04
1Mn,234.2,3.70E-04
1Mn,234.9,3.69E-04
1Mn,235.4,3.69E-04
1Mn,236,3.66E-04
1Mn,236.5,3.62E-04
1Mn,237.1,3.58E-04
1Mn,237.8,3.59E-04
1Mn,238.3,3.61E-04
1Mn,239.1,3.53E-04
1Mn,239.6,3.54E-04
1Mn,240.3,3.52E-04
1Mn,240.8,3.52E-04
1Mn,241.5,3.49E-04
1Mn,242.1,3.48E-04
1Mn,242.5,3.40E-04
1Mn,243.2,3.45E-04
1Mn,243.7,3.39E-04
1Mn,244.3,3.31E-04
1Mn,244.9,3.28E-04
1Mn,245.6,3.31E-04
1Mn,246.1,3.25E-04
1Mn,246.9,3.26E-04
1Mn,247.6,3.19E-04
1Mn,248.1,3.19E-04
1Mn,248.8,3.18E-04
1Mn,249.3,3.13E-04
1Mn,250,3.18E-04
1Mn,250.4,3.05E-04
1Mn,251.1,3.02E-04
1Mn,251.6,3.04E-04
1Mn,252.3,3.01E-04
1Mn,253.1,2.96E-04
1Mn,253.6,2.85E-04
1Mn,254.3,2.83E-04
1Mn,254.9,2.88E-04
1Mn,255.6,2.80E-04
1Mn,256.1,2.79E-04
1Mn,256.7,2.75E-04
1Mn,257.4,2.72E-04
1Mn,257.9,2.70E-04
1Mn,258.5,2.63E-04
1Mn,259,2.63E-04
1Mn,259.8,2.58E-04
1Mn,260.5,2.58E-04
1Mn,261.1,2.53E-04
1Mn,261.9,2.48E-04
1Mn,262.5,2.39E-04
1Mn,263.2,2.38E-04
1Mn,263.6,2.41E-04
1Mn,264.3,2.42E-04
1Mn,264.9,2.39E-04
1Mn,265.4,2.33E-04
1Mn,266.1,2.29E-04
1Mn,266.6,2.32E-04
1Mn,267.4,2.25E-04
1Mn,267.9,2.21E-04
1Mn,268.7,2.18E-04
1Mn,269.3,2.14E-04
1Mn,270,2.13E-04
1Mn,270.7,2.14E-04
1Mn,271.2,2.10E-04
1Mn,271.8,2.14E-04
1Mn,272.3,2.05E-04
1Mn,273,2.05E-04
1Mn,273.5,2.03E-04
1Mn,274.2,2.01E-04
1Mn,274.7,2.02E-04
1Mn,275.5,1.97E-04
1Mn,276.1,1.90E-04
1Mn,276.8,1.95E-04
1Mn,277.6,1.91E-04
1Mn,278.1,1.88E-04
1Mn,278.8,1.87E-04
1Mn,279.2,1.87E-04
1Mn,279.9,1.83E-04
1Mn,280.4,1.76E-04
1Mn,281,1.78E-04
1Mn,281.6,1.80E-04
1Mn,282.4,1.77E-04
1Mn,283.2,1.75E-04
1Mn,283.7,1.73E-04
1Mn,284.5,1.69E-04
1Mn,284.9,1.71E-04
1Mn,285.6,1.65E-04
1Mn,286.2,1.61E-04
1Mn,286.8,1.66E-04
1Mn,287.3,1.68E-04
1Mn,287.9,1.59E-04
1Mn,288.7,1.62E-04
1Mn,289.2,1.60E-04
1Mn,290,1.56E-04
1Mn,290.6,1.54E-04
1Mn,291.4,1.52E-04
1Mn,291.9,1.54E-04
1Mn,292.6,1.51E-04
1Mn,293.1,1.50E-04
1Mn,293.7,1.50E-04
1Mn,294.2,1.49E-04
1Mn,294.9,1.50E-04
1Mn,295.3,1.46E-04
1Mn,296,1.44E-04
1Mn,296.8,1.46E-04
1Mn,297.4,1.41E-04
1Mn,298.2,1.41E-04
1Mn,298.8,1.41E-04
1Mn,299.5,1.34E-04
1Mn,300.1,1.37E-04
1Mn,300.6,1.31E-04
1Mn,301.2,1.33E-04
1Mn,301.7,1.27E-04
1Mn,302.4,1.25E-04
1Mn,302.9,1.29E-04
1Mn,303.7,1.31E-04
1Mn,304.3,1.29E-04
1Mn,305.1,1.28E-04
1Mn,305.7,1.29E-04
1Mn,306.4,1.25E-04
1Mn,307.1,1.26E-04
1Mn,307.7,1.20E-04
1Mn,308.3,1.17E-04
1Mn,308.8,1.16E-04
1Mn,309.5,1.16E-04
1Mn,310,1.15E-04
1Mn,310.7,1.19E-04
1Mn,311.3,1.16E-04
1Mn,312.1,1.13E-04
1Mn,312.7,1.11E-04
1Mn,313.5,1.14E-04
1Mn,314.4,1.07E-04
1Mn,314.9,1.11E-04
1Mn,315.6,1.08E-04
1Mn,316.1,1.07E-04
1Mn,316.7,1.10E-04
1Mn,317.1,1.12E-04
1Mn,317.7,1.03E-04
1Mn,318.3,1.02E-04
1Mn,319.1,9.95E-05
1Mn,319.7,1.03E-04
1Mn,320.5,9.68E-05
1Mn,321.3,1.04E-04
1Mn,321.9,9.65E-05
1Mn,322.6,9.87E-05
1Mn,323.1,9.90E-05
1Mn,323.8,9.58E-05
1Mn,324.2,9.60E-05
1Mn,324.8,9.69E-05
1Mn,325.3,9.95E-05
1Mn,326,9.45E-05
1Mn,326.7,9.10E-05
1Mn,327.3,8.73E-05
1Mn,328.1,8.69E-05
1Mn,328.7,8.85E-05
1Mn,329.4,8.77E-05
1Mn,330,8.55E-05
1Mn,330.7,8.23E-05
1Mn,331.2,8.24E-05
1Mn,331.8,8.45E-05
1Mn,332.3,7.93E-05
1Mn,332.8,7.84E-05
1Mn,333.5,7.85E-05
1Mn,334.1,7.62E-05
1Mn,334.9,7.79E-05
1Mn,335.5,7.76E-05
1Mn,336.3,7.59E-05
1Mn,337,7.62E-05
1Mn,337.6,7.43E-05
1Mn,338.2,7.14E-05
1Mn,338.7,7.40E-05
1Mn,339.2,7.22E-05
1Mn,339.9,7.04E-05
1Mn,340.4,6.98E-05
1Mn,341.1,6.58E-05
1Mn,341.7,7.19E-05
1Mn,342.6,6.73E-05
1Mn,343.4,6.45E-05
1Mn,343.9,6.36E-05
1Mn,344.7,6.48E-05
1Mn,345.2,6.80E-05
1Mn,345.8,6.34E-05
1Mn,346.2,6.35E-05
1Mn,346.8,6.15E-05
1Mn,347.5,6.29E-05
1Mn,348,5.93E-05
1Mn,348.8,6.26E-05
1Mn,349.4,6.11E-05
1Mn,350.2,6.35E-05
1Mn,350.7,5.72E-05
1Mn,351.5,5.26E-05
1Mn,352.1,5.62E-05
1Mn,352.6,5.67E-05
1Mn,353.3,5.52E-05
1Mn,353.7,5.18E-05
1Mn,354.4,5.19E-05
1Mn,354.9,5.71E-05
1Mn,355.6,5.14E-05
1Mn,356.4,5.43E-05
1Mn,357,4.95E-05
1Mn,357.9,4.78E-05
1Mn,358.4,4.93E-05
1Mn,359.1,5.30E-05
1Mn,359.6,4.95E-05
1Mn,360.2,5.08E-05
1Mn,360.7,5.23E-05
1Mn,361.2,4.73E-05
1Mn,362,4.76E-05
1Mn,362.5,4.79E-05
1Mn,363.3,4.89E-05
1Mn,364.1,4.67E-05
1Mn,364.7,4.62E-05
1Mn,365.4,3.63E-05
1Mn,366,4.24E-05
1Mn,366.7,4.58E-05
1Mn,367.2,4.41E-05
1Mn,367.8,4.05E-05
1Mn,368.4,4.41E-05
1Mn,368.9,4.26E-05
1Mn,369.6,4.44E-05
1Mn,370.2,3.59E-05
1Mn,371,4.80E-05
1Mn,371.8,4.19E-05
1Mn,372.5,4.14E-05
1Mn,373.2,4.19E-05
1Mn,373.7,3.97E-05
1Mn,374.3,4.40E-05
1Mn,375,3.77E-05
1Mn,375.4,4.41E-05
1Mn,375.8,3.85E-05
1Mn,376.6,4.19E-05
1Mn,377.2,3.80E-05
1Mn,377.9,3.66E-05
1Mn,378.7,3.65E-05
1Mn,379.3,3.57E-05
1Mn,380.1,3.57E-05
1Mn,380.9,3.67E-05
1Mn,381.4,3.57E-05
1Mn,382,3.66E-05
1Mn,382.5,3.62E-05
1Mn,383.1,3.24E-05
1Mn,383.6,4.29E-05
1Mn,384.3,3.76E-05
1Mn,384.9,3.42E-05
1Mn,385.7,3.87E-05
1Mn,386.5,3.84E-05
1Mn,387.2,3.82E-05
1Mn,387.9,3.39E-05
1Mn,388.5,3.25E-05
1Mn,389.1,3.58E-05
1Mn,389.6,3.17E-05
1Mn,390.2,3.59E-05
1Mn,390.8,3.57E-05
1Mn,391.4,3.91E-05
1Mn,392.1,3.50E-05
1Mn,392.7,3.60E-05
1Mn,393.6,3.38E-05
1Mn,394.3,3.53E-05
1Mn,395.1,3.66E-05
1Mn,395.6,3.43E-05
1Mn,396.4,3.46E-05
1Mn,396.9,3.80E-05
1Mn,397.4,3.45E-05
1Mn,398,3.73E-05
1Mn,398.5,3.19E-05
1Mn,399.2,3.72E-05
1Mn,400,3.25E-05
1Mn,400.6,2.96E-05
1Mn,401.4,3.09E-05
1Mn,402.1,3.37E-05
1Mn,402.8,3.23E-05
1Mn,403.3,3.56E-05
1Mn,404,3.27E-05
1Mn,404.7,3.24E-05
1Mn,405.1,3.68E-05
1Mn,405.7,2.95E-05
1Mn,406.3,3.10E-05
1Mn,407,3.16E-05
1Mn,407.6,3.27E-05
1Mn,408.4,3.45E-05
1Mn,409.1,3.09E-05
1Mn,409.9,3.59E-05
1Mn,410.5,3.05E-05
1Mn,411.2,2.84E-05
1Mn,411.7,2.44E-05
1Mn,412.3,3.41E-05
1Mn,412.8,3.68E-05
1Mn,413.3,3.00E-05
1Mn,414,3.46E-05
1Mn,414.6,3.69E-05
1Mn,415.5,3.56E-05
1Mn,416,3.36E-05
1Mn,416.9,3.27E-05
1Mn,417.7,3.13E-05
1Mn,418.2,3.23E-05
1Mn,418.8,3.28E-05
1Mn,419.3,3.18E-05
1Mn,419.8,3.00E-05
1Mn,420.2,2.88E-05
1Mn,420.9,3.36E-05
1Mn,421.4,3.04E-05
