Tipo,T [°C],CO2 Concentration [a.u.]
REF,139.1,0.000301
REF,139.8,0.000298
REF,140.5,0.000293
REF,141,0.000291
REF,141.6,0.000294
REF,142,0.000285
REF,142.6,0.000283
REF,143.1,0.000282
REF,143.8,0.000279
REF,144.2,0.000278
REF,144.9,0.00027
REF,145.6,0.000268
REF,145.7634654,0.000263
REF,146.7,0.000262
REF,147.2,0.000261
REF,147.9,0.000261
REF,148.3,0.000257
REF,148.9,0.00025
REF,149.6,0.000246
REF,150,0.000251
REF,150.6,0.000241
REF,151.1,0.000243
REF,151.8,0.00024
REF,152.5,0.000238
REF,152.9,0.000232
REF,153.6,0.000232
REF,154.1,0.000232
REF,154.7,0.000228
REF,155.2,0.000227
REF,155.8,0.000223
REF,156.4,0.00022
REF,156.6714776,0.000218
REF,157.5,0.000214
REF,158,0.000215
REF,158.7,0.000206
REF,159.2,0.000207
REF,159.9,0.000203
REF,160.5,0.000205
REF,160.7744914,0.000197
REF,161.7,0.000198
REF,162.2,0.000198
REF,162.8,0.000194
REF,163.4,0.000196
REF,163.9,0.000191
REF,164.6,0.000191
REF,165,0.000187
REF,165.7,0.000186
REF,166.3,0.000183
REF,166.9,0.000185
REF,167.6,0.000183
REF,168.1,0.000179
REF,168.7,0.000179
REF,168.8804457,0.000177
REF,169.8,0.000173
REF,170.3,0.000171
REF,170.9,0.000171
REF,171.6,0.00017
REF,172.1,0.00017
REF,172.3830186,0.000167
REF,173.3,0.000167
REF,174,0.000163
REF,174.7,0.000163
REF,175.2,0.00016
REF,175.8,0.00016
REF,176.3,0.000163
REF,176.9,0.000159
REF,177.5,0.000155
REF,178.1,0.000155
REF,178.7,0.000151
REF,179.2,0.000148
REF,179.9,0.000149
REF,180.5,0.000149
REF,181.1,0.000145
REF,181.8,0.000146
REF,182.3,0.000143
REF,182.9,0.000142
REF,183.4,0.000142
REF,184,0.000144
REF,184.5,0.00014
REF,185.2,0.000138
REF,185.8,0.00014
REF,186.4,0.000134
REF,187.1,0.000136
REF,187.6,0.000134
REF,188.2,0.000133
REF,188.8,0.000135
REF,189.4,0.000132
REF,190,0.000131
REF,190.5,0.000129
REF,191.1,0.000126
REF,191.6,0.000128
REF,192.2,0.000126
REF,192.9,0.000123
REF,193.5,0.000125
REF,193.9988975,0.000123
REF,194.7,0.000121
REF,195.4,0.000122
REF,196.1,0.000123
REF,196.5,0.000121
REF,197.1,0.000123
REF,197.6,0.000119
REF,198.3,0.000123
REF,198.7,0.000119
REF,199.4,0.000116
REF,200.1,0.000118
REF,200.6,0.000117
REF,201.3,0.000115
REF,201.8,0.000117
REF,202.5,0.000113
REF,202.9,0.000115
REF,203.6,0.000114
REF,204.2,0.000116
REF,204.6,0.000113
REF,205.3,0.000113
REF,205.8,0.000111
REF,206.4080136,0.000111
REF,207.3,0.000112
REF,207.8,0.00011
REF,208.5,0.000111
REF,209,0.00011
REF,209.7,0.000108
REF,210.2,0.000108
REF,210.8,0.000106
REF,211.4,0.000109
REF,211.9,0.000108
REF,212.5,0.000108
REF,213,0.000111
REF,213.7,0.000108
REF,214.5,0.000109
REF,215,0.000106
REF,215.7,0.000108
REF,216.2,0.000108
REF,216.9,0.00011
REF,217.5,0.000103
REF,217.9,0.000106
REF,218.6,0.000106
REF,219.1,0.000108
REF,219.7,0.000109
REF,220.3182328,0.000108
REF,221.0187475,0.000104
REF,221.7,0.000106
REF,222.2,0.000106
REF,222.9,0.000104
REF,223.4,0.000105
REF,224.1,0.000101
REF,224.7,0.000102
REF,225.1,0.000103
REF,225.8,0.0001
REF,226.3,0.000106
REF,227,0.000102
REF,227.5,0.000105
REF,228.3,9.98E-05
REF,229,0.000101
REF,229.6,0.0001
REF,230.3,0.000102
REF,230.8,9.96E-05
REF,231.4,9.76E-05
REF,231.8,9.87E-05
REF,232.5,0.000102
REF,233.1,9.87E-05
REF,233.6,9.66E-05
REF,234.4,9.88E-05
REF,234.9,9.65E-05
REF,235.6,9.83E-05
REF,236.2,9.65E-05
REF,236.9,9.77E-05
REF,237.6,9.88E-05
REF,238.231393,9.59E-05
REF,238.6,9.53E-05
REF,239.1,9.67E-05
REF,239.8,9.75E-05
REF,240.5,9.46E-05
REF,241,9.52E-05
REF,241.7,9.08E-05
REF,242.3,9.58E-05
REF,243,9.23E-05
REF,243.6,9.12E-05
REF,244.3,9.00E-05
REF,245,8.90E-05
REF,245.4,9.03E-05
REF,246,8.84E-05
REF,246.5,8.92E-05
REF,247.1,8.91E-05
REF,247.7,9.07E-05
REF,248.4,8.93E-05
REF,249.2,9.10E-05
REF,249.7,8.69E-05
REF,250.4,8.50E-05
REF,251,8.61E-05
REF,251.6,8.67E-05
REF,252.2,8.53E-05
REF,252.8,8.63E-05
REF,253.4,8.43E-05
REF,253.9,8.57E-05
REF,254.6,8.40E-05
REF,255.1,8.06E-05
REF,255.8,8.23E-05
