Tipo,TOS_30H2_CO2 [h],X_CH4_30H2_CO2 [%],X_CO2_30H2_CO2 [%]
30_H2_CO2_C1,0.08333,41.2781,53.47585
30_H2_CO2_C1,0.22472,40.29918,52.13512
30_H2_CO2_C1,0.36667,39.20438,51.03392
30_H2_CO2_C1,0.50806,38.43995,50.06003
30_H2_CO2_C1,0.64972,36.70902,48.50942
30_H2_CO2_C1,0.79139,35.9456,47.75898
30_H2_CO2_C1,0.93333,35.42601,47.07281
30_H2_CO2_C1,1.07472,34.67051,46.21313
30_H2_CO2_C1,1.21639,34.02727,45.65794
30_H2_CO2_C1,1.35806,33.55408,45.03147
30_H2_CO2_C1,1.49917,33.1598,44.71624
30_H2_CO2_C1,1.64083,32.70033,44.31259
30_H2_CO2_C1,1.7825,32.18984,43.46108
30_H2_CO2_C1,1.92417,31.77549,43.18119
30_H2_CO2_C1,2.06556,31.48783,42.95065
30_H2_CO2_C1,2.2075,31.18436,42.6059
30_H2_CO2_C1,2.34889,30.88304,42.24955
30_H2_CO2_C1,2.49056,30.67237,42.1134
30_H2_CO2_C1,2.63222,30.33408,41.80922
30_H2_CO2_C1,2.77389,30.28922,41.44242
30_H2_CO2_C1,2.91528,30.08562,41.26872
30_H2_CO2_C1,3.05722,29.80155,41.06907
30_H2_CO2_C1,3.19861,29.58981,41.03362
30_H2_CO2_C1,3.34,29.50073,40.71992
30_H2_CO2_C1,3.48194,29.29561,40.62101
30_H2_CO2_C1,3.62361,29.13151,40.39707
30_H2_CO2_C1,3.765,28.45197,39.71956
30_H2_CO2_C1,3.90694,28.26236,39.39253
30_H2_CO2_C1,4.04833,28.2348,39.29252
30_H2_CO2_C1,4.19028,27.97863,39.32457
30_H2_CO2_C1,4.33167,27.50787,38.51084
30_H2_CO2_C1,4.47333,27.40219,38.54824
30_H2_CO2_C1,4.615,27.29096,38.31274
30_H2_CO2_C1,4.75667,27.23711,38.36603
30_H2_CO2_C1,4.89833,27.03305,38.16084
30_H2_CO2_C1,5.03972,26.95125,38.03383
30_H2_CO2_C1,5.18111,26.83968,37.70635
30_H2_CO2_C1,5.32278,26.71715,37.8265
30_H2_CO2_C1,5.46444,26.8224,37.5836
30_H2_CO2_C1,5.60583,26.60874,37.57126
30_H2_CO2_C1,5.7475,26.54722,37.30219
30_H2_CO2_C1,5.88944,26.47968,37.32047
30_H2_CO2_C1,6.03056,26.37687,37.26179
30_H2_CO2_C1,6.1725,26.26652,37.19946
30_H2_CO2_C1,6.31417,26.06317,37.1079
30_H2_CO2_C1,6.45583,26.07044,36.92706
30_H2_CO2_C1,6.5975,26.00871,36.92656
30_H2_CO2_C1,6.73917,25.96487,36.81897
30_H2_CO2_C1,6.88056,25.85895,36.82966
30_H2_CO2_C1,7.02222,25.83517,36.64239
30_H2_CO2_C1,7.16389,25.68393,36.51934
30_H2_CO2_C1,7.30528,25.66128,36.55544
30_H2_CO2_C1,7.44667,25.61926,36.48748
30_H2_CO2_C1,7.58833,25.55184,36.35684
30_H2_CO2_C1,7.73,25.47807,36.35961
30_H2_CO2_C1,7.87194,25.53969,36.37771
30_H2_CO2_C1,8.01333,25.3302,36.26572
30_H2_CO2_C1,8.155,25.46984,36.18889
30_H2_CO2_C1,8.29639,25.27831,36.08091
30_H2_CO2_C1,8.43833,25.2762,36.0886
30_H2_CO2_C1,8.58,25.18013,36.00342
30_H2_CO2_C1,8.72139,25.19323,36.05837
30_H2_CO2_C1,8.86306,25.23218,36.02496
30_H2_CO2_C1,9.00444,25.10972,35.88499
30_H2_CO2_C1,9.14611,25.09299,35.72597
30_H2_CO2_C1,9.28806,24.93482,35.63615
30_H2_CO2_C1,9.42972,24.86708,35.56333
30_H2_CO2_C1,9.57111,24.9132,35.54919
30_H2_CO2_C1,9.71278,24.68743,35.55306
30_H2_CO2_C1,9.85472,24.83797,35.45769
30_H2_CO2_C1,9.99639,24.69298,35.38768
30_H2_CO2_C1,10.13778,24.55307,35.35391
30_H2_CO2_C1,10.27944,24.77125,35.32378
30_H2_CO2_C1,10.42111,24.60449,35.22671
30_H2_CO2_C1,10.56278,24.42246,35.23299
30_H2_CO2_C1,10.70417,24.46672,35.18402
30_H2_CO2_C1,10.84583,24.3843,35.07385
30_H2_CO2_C1,10.9875,24.46231,35.06023
30_H2_CO2_C1,11.12917,24.34347,34.95021
30_H2_CO2_C1,11.27083,24.30106,34.99884
30_H2_CO2_C1,11.41194,24.28764,35.06672
30_H2_CO2_C1,11.55361,24.30481,34.85723
30_H2_CO2_C1,11.69556,24.21528,34.84856
30_H2_CO2_C1,11.83694,24.10165,34.73915
30_H2_CO2_C1,11.97833,24.27248,34.72865
30_H2_CO2_C1,12.12,24.05853,34.6722
30_H2_CO2_C1,12.26167,24.15672,34.71218
30_H2_CO2_C1,12.40333,24.04924,34.70939
30_H2_CO2_C1,12.54528,23.90737,34.58883
30_H2_CO2_C1,12.68639,23.9721,34.50853
30_H2_CO2_C1,12.82806,23.87816,34.50057
30_H2_CO2_C1,12.96972,23.83017,34.45456
30_H2_CO2_C1,13.11139,23.82757,34.43113
30_H2_CO2_C1,13.25278,23.83377,34.51596
30_H2_CO2_C1,13.39444,23.80848,34.39794
30_H2_CO2_C1,13.53611,23.81514,34.49295
30_H2_CO2_C1,13.67806,23.73561,34.37305
30_H2_CO2_C1,13.81944,23.62014,34.27004
30_H2_CO2_C1,13.96111,23.78679,34.31139
30_H2_CO2_C1,14.10278,23.64071,34.26416
30_H2_CO2_C1,14.24444,23.61369,34.28451
30_H2_CO2_C1,14.38611,23.60811,34.20107
30_H2_CO2_C1,14.52778,23.5076,34.10339
30_H2_CO2_C1,14.66917,23.58059,34.12124
30_H2_CO2_C1,14.81056,23.50812,34.03051
30_H2_CO2_C1,14.95222,23.47954,34.06938
30_H2_CO2_C1,15.09389,23.45115,34.0397
30_H2_CO2_C1,15.23528,23.4356,33.94506
30_H2_CO2_C1,15.37694,23.5196,33.98744
30_H2_CO2_C1,15.51889,23.49129,33.86155
30_H2_CO2_C1,15.66056,23.30359,33.89963
30_H2_CO2_C1,15.80194,23.28622,33.99675
30_H2_CO2_C1,15.94361,23.2009,33.83276
30_H2_CO2_C1,16.08556,23.1915,33.77725
30_H2_CO2_C1,16.22694,23.21431,33.69423
30_H2_CO2_C1,16.36889,23.2122,33.69218
30_H2_CO2_C1,16.51028,23.2161,33.79733
30_H2_CO2_C1,16.65194,23.17343,33.50476
30_H2_CO2_C1,16.79361,23.16208,33.66189
30_H2_CO2_C1,16.93472,23.07187,33.69041
30_H2_CO2_C1,17.07639,23.02809,33.64544
30_H2_CO2_C1,17.21806,23.06986,33.59126
30_H2_CO2_C1,17.35944,23.09759,33.59968
30_H2_CO2_C1,17.50139,23.01088,33.62357
30_H2_CO2_C1,17.78472,22.92777,33.34755
30_H2_CO2_C1,17.92611,22.95298,33.45735
30_H2_CO2_C1,18.06778,23.02481,33.32068
30_H2_CO2_C1,18.20917,22.84304,33.48209
30_H2_CO2_C1,18.35083,22.84179,33.47056
30_H2_CO2_C1,18.4925,22.92193,33.44031
30_H2_CO2_C1,18.63417,22.72618,33.35495
30_H2_CO2_C1,18.77583,22.8165,33.40273
30_H2_CO2_C1,18.91722,22.91343,33.25565
30_H2_CO2_C1,19.05917,22.71281,33.3092
30_H2_CO2_C1,19.20083,22.70507,33.11296
30_H2_CO2_C1,19.3425,22.69724,33.14332
30_H2_CO2_C1,19.48389,22.80905,33.15242
30_H2_CO2_C1,19.62583,22.69828,33.20453
30_H2_CO2_C1,19.76722,22.70724,33.11491
30_H2_CO2_C1,19.90889,22.59698,33.13104
30_H2_CO2_C1,20.05028,22.65446,33.1415
30_H2_CO2_C1,20.19194,22.62177,33.00418
30_H2_CO2_C1,20.33361,22.58591,33.09904
30_H2_CO2_C1,20.475,22.49517,33.12148
30_H2_CO2_C1,20.61667,22.49048,33.01188
30_H2_CO2_C1,20.75833,22.53675,33.13171
30_H2_CO2_C1,20.89972,22.51428,32.78074
30_H2_CO2_C1,21.04139,22.48036,32.93819
30_H2_CO2_C1,21.18333,22.56784,32.81938
30_H2_CO2_C1,21.325,22.41011,32.90411
30_H2_CO2_C1,21.46639,22.45849,32.97903
30_H2_CO2_C1,21.60806,22.51542,32.89965
30_H2_CO2_C1,21.75,22.43741,33.00459
30_H2_CO2_C1,21.89167,22.36684,32.80464
30_H2_CO2_C1,22.03306,22.32714,32.91481
30_H2_CO2_C1,22.17472,22.31195,32.68206
30_H2_CO2_C1,22.31611,22.37534,32.70128
30_H2_CO2_C1,22.45778,22.39183,32.63868
30_H2_CO2_C1,22.59944,22.29004,32.60276
30_H2_CO2_C1,22.74111,22.3489,32.62377
30_H2_CO2_C1,22.8825,22.36039,32.75458
30_H2_CO2_C1,23.02444,22.26818,32.67551
30_H2_CO2_C1,23.16583,22.35774,32.66094
30_H2_CO2_C1,23.3075,22.25685,32.56855
30_H2_CO2_C1,23.44917,22.28491,32.65511
30_H2_CO2_C1,23.59056,22.17821,32.67988
30_H2_CO2_C1,23.73222,22.11747,32.45342
30_H2_CO2_C1,23.87361,22.15044,32.6763
4CO2_C1,0.08333,39.98295,51.51814
4CO2_C1,0.225,38.61476,49.88088
4CO2_C1,0.36639,37.56652,49.09059
4CO2_C1,0.50806,36.08002,47.62005
4CO2_C1,0.64972,35.47646,47.06514
4CO2_C1,0.79139,34.55597,45.83178
4CO2_C1,0.93278,34.02485,45.38564
4CO2_C1,1.07472,33.52042,44.75684
4CO2_C1,1.21611,32.85469,44.22762
4CO2_C1,1.35778,32.62408,43.59783
4CO2_C1,1.49917,32.1466,43.38571
4CO2_C1,1.64083,31.81085,42.99084
4CO2_C1,1.78278,31.15561,42.35944
4CO2_C1,1.92444,30.85657,41.98222
4CO2_C1,2.06611,30.56742,41.72164
4CO2_C1,2.2075,30.57642,41.33673
4CO2_C1,2.34944,30.02242,41.06924
4CO2_C1,2.49083,29.57922,40.9783
4CO2_C1,2.6325,29.42945,40.7874
4CO2_C1,2.77389,29.52534,40.39888
4CO2_C1,2.91556,29.0489,40.42802
4CO2_C1,3.05694,29.15182,40.17055
4CO2_C1,3.19861,28.74363,39.54879
4CO2_C1,3.34028,28.63875,39.43264
4CO2_C1,3.48222,28.46327,39.32886
4CO2_C1,3.62361,28.20256,39.05761
4CO2_C1,3.76528,28.10273,38.99679
4CO2_C1,3.90694,28.0584,38.99896
4CO2_C1,4.04833,27.82799,38.68676
4CO2_C1,4.19,27.72227,38.57621
