TOS_REF[h],X_CH4_REF [%],X_CO2_REF [%],Coke_REF [w%],,TOS_REF_2[h],X_CH4_REF_2 [%],X_CO2_REF_2 [%],Coke_REF_2 [w%],,TOS_1Mn [h],X_CH4_1Mn [%],X_CO2_1Mn [%],Coke_1Mn [w%],,TOS_1Mn_2 [h],X_CH4_1Mn_2 [%],X_CO2_1Mn_2 [%],Coke_1Mn_2 [w%],,TOS_0.5Mn [h],X_CH4_0.5Mn [%],X_CO2_0.5Mn [%],Coke_0.5Mn [w%],,TOS_0.5Mn_2 [h],X_CH4_0.5Mn_2 [%],X_CO2_0.5Mn_2 [%],Coke_0.5Mn_2 [w%],,TOS_0.25Mn [h],X_CH4_0.25Mn [%],X_CO2_0.25 Mn [%],Coke_0.25Mn [w%],,TOS_0.25Mn_2 [h],X_CH4_0.25Mn_2 [%],X_CO2_0.25 Mn_2 [%],Coke_0.25Mn_2 [w%],,TOS_1Cr [h],X_CH4_1Cr [%],X_CO2_1Cr [%],Coke_1Cr [w%],,TOS_1Cr_2 [h],X_CH4_1Cr_2 [%],X_CO2_1Cr_2 [%],Coke_1Cr_2 [w%],,TOS-0.5Cr [h],X_CH4_0.5Cr [%],X_CO2_0.5Cr [%],Coke_0.5Cr [w%],,TOS-0.5Cr_2 [h],X_CH4_0.5Cr_2 [%],X_CO2_0.5Cr_2 [%],Coke_0.5Cr_2 [w%],,TOS_0.25Cr [h],X_CH4_0.25Cr [%],X_CO2_0.25Cr [%],Coke_0.25Cr [w%],,TOS_0.25Cr_2 [h],X_CH4_0.25Cr_2 [%],X_CO2_0.25Cr_2 [%],Coke_0.25Cr_2 [w%],,TOS_1Fe [h],X_CH4_1Fe [%],X_CO2_1Fe [%],Coke_1Fe [w%],,TOS_1Fe_2 [h],X_CH4_1Fe_2 [%],X_CO2_1Fe_2 [%],Coke_1Fe_2 [w%],,TOS_0.5Fe [h],X_CH4_0.5Fe [%],X_CO2_0.5Fe [%],Coke_0.5Fe [w%],,TOS_0.5Fe_2 [h],X_CH4_0.5Fe_2 [%],X_CO2_0.5Fe_2 [%],Coke_0.5Fe_2 [w%],,TOS_0.25Fe [h],X_CH4_0.25Fe [%],X_CO2_0.25Fe [%],Coke_0.25Fe [w%],,TOS_0.25Fe_2 [h],X_CH4_0.25Fe_2 [%],X_CO2_0.25Fe_2 [%],Coke_0.25Fe_2 [w%]
1.49972,33.08925,45.09874,,,1.49944,32.32906,43.20465,,,1.49944,39.45733,50.96618,,,1.49917,33.62045,45.14616,,,1.49917,43.93123,56.02329,,,1.49972,40.74063,52.1003,,,1.49944,38.06023,48.7983,,,1.49944,39.42998,50.8487,,,1.49972,38.41182,50.10732,,,1.49972,38.41338,49.95081,,,1.49944,40.01508,51.43792,,,1.49972,40.64878,52.1371,,,1.49972,37.20376,48.69802,,,1.49944,41.83991,53.64361,,,1.49972,29.47868,42.65027,,,1.49944,25.67248,38.59536,,,1.49944,42.64645,55.08934,,,1.49917,39.5823,51.89893,,,1.5,43.23077,55.22992,,,1.49944,44.88277,56.68148,
1.64139,32.5823,44.34459,,,1.64083,31.46922,42.5958,,,1.64139,39.32573,50.82393,,,1.64111,33.35312,44.8208,,,1.64083,43.53579,55.71862,,,1.64083,40.1462,51.67456,,,1.64111,37.78551,48.5189,,,1.64111,38.66518,50.4769,,,1.64111,38.12025,49.794,,,1.64111,38.00801,49.71431,,,1.64083,39.75501,51.20783,,,1.64083,40.47166,51.82169,,,1.64139,36.9037,48.48874,,,1.64111,41.66812,53.17882,,,1.64139,29.90228,42.66816,,,1.64111,25.81575,38.69196,,,1.64111,42.60162,54.8372,,,1.64083,39.47692,51.95801,,,1.64139,43.10014,55.30889,,,1.64111,44.74493,56.78739,
1.78278,32.30412,43.97241,,,1.7825,31.21811,42.06974,,,1.78306,39.15338,50.64607,,,1.7825,33.14555,44.69518,,,1.7825,43.28739,55.71048,,,1.7825,40.21151,51.54546,,,1.7825,37.65875,48.38662,,,1.78278,38.44854,50.02062,,,1.78278,38.01573,49.56703,,,1.78306,37.80334,49.52946,,,1.7825,39.62535,50.97446,,,1.7825,40.15628,51.50386,,,1.7825,36.44715,47.88721,,,1.78278,41.52229,53.05229,,,1.78306,29.81899,42.90413,,,1.78278,25.9454,38.7073,,,1.78306,42.73723,55.03092,,,1.78278,39.48425,51.77465,,,1.78306,42.79347,55.36701,,,1.78222,44.72058,56.63529,
1.92417,32.10992,43.77508,,,1.92389,30.72612,41.39536,,,1.92417,39.12822,50.70821,,,1.92417,33.09605,44.63354,,,1.92417,43.26268,55.69123,,,1.92417,40.15823,51.40268,,,1.92417,37.26154,48.22034,,,1.92444,38.51545,49.80401,,,1.92444,37.7302,49.34758,,,1.92472,37.61188,49.32236,,,1.92389,39.38757,50.83203,,,1.92417,40.07823,51.40076,,,1.92417,36.25371,47.67361,,,1.92417,41.22974,52.87975,,,1.92444,29.92967,43.15909,,,1.92417,25.97769,38.97891,,,1.92472,42.52435,55.03494,,,1.92417,39.49802,51.68921,,,1.92472,42.99102,55.0864,,,1.92389,44.58521,56.37616,
2.06583,31.59861,43.13451,,,2.06556,30.26705,41.08072,,,2.06583,38.95607,50.65555,,,2.06583,33.04736,44.47199,,,2.06583,43.09759,55.37067,,,2.06583,40.08119,51.40336,,,2.06583,37.14369,47.95943,,,2.06583,37.71679,49.84361,,,2.06583,37.56735,49.22143,,,2.06611,37.32463,48.95034,,,2.06556,39.10429,50.48846,,,2.06583,39.82048,51.1198,,,2.06611,36.07062,47.59197,,,2.06583,40.76276,52.62666,,,2.06583,30.08564,43.04158,,,2.06583,26.1236,39.0158,,,2.06639,42.57977,54.93651,,,2.06611,39.34275,51.65131,,,2.06583,42.69442,54.78153,,,2.06556,44.53601,56.54153,
2.20778,31.22115,42.79182,,,2.20722,30.00208,40.78192,,,2.2075,39.11817,50.4405,,,2.2075,33.00135,44.31091,,,2.2075,43.15283,55.43515,,,2.20778,39.86408,51.34152,,,2.20722,36.63392,47.34192,,,2.20778,38.15194,49.3063,,,2.20778,37.29812,48.92201,,,2.20778,37.2321,48.87454,,,2.2075,38.77136,50.17883,,,2.20722,39.7161,50.8281,,,2.2075,35.84027,47.2174,,,2.20778,40.56847,52.32688,,,2.20778,30.13979,43.15567,,,2.20778,26.20146,39.03192,,,2.2075,42.708,55.28235,,,2.20722,39.34666,51.82237,,,2.2075,42.56259,54.68715,,,2.20694,44.47235,56.30213,
2.34944,30.72355,42.73195,,,2.34889,29.84447,40.4858,,,2.34917,38.75599,50.51161,,,2.34917,32.80055,44.20989,,,2.34917,43.0406,55.41369,,,2.34889,39.95361,51.09738,,,2.34917,36.37275,47.3716,,,2.34944,37.65215,49.20223,,,2.34944,37.1754,48.61866,,,2.34917,37.07121,48.59238,,,2.34889,38.61634,49.8574,,,2.34889,39.32533,50.31979,,,2.34917,35.64458,47.06647,,,2.34944,40.50536,52.26752,,,2.34917,30.1311,43.34889,,,2.34944,26.30661,39.32303,,,2.34917,42.43493,54.9917,,,2.34917,39.28523,51.69493,,,2.34917,42.53585,54.65574,,,2.34861,44.42853,56.38942,
2.49056,30.69926,42.25504,,,2.49028,29.60482,40.51345,,,2.49083,38.78343,50.2165,,,2.49083,32.66558,44.0061,,,2.49111,42.96772,55.23302,,,2.49056,39.72733,51.05974,,,2.49083,36.26326,47.02568,,,2.49083,37.4407,48.89691,,,2.49111,37.01667,48.42719,,,2.49083,36.95954,48.3501,,,2.49083,38.41114,49.75804,,,2.49083,39.04669,50.35993,,,2.49083,35.24284,46.63761,,,2.49083,40.34225,52.16794,,,2.49056,30.19684,43.32175,,,2.49083,26.39308,39.39159,,,2.49083,42.51613,55.03034,,,2.49083,39.2813,51.741,,,2.49083,42.50348,54.68806,,,2.49028,44.32676,56.20942,
2.63222,30.51838,41.972,,,2.63194,29.33351,40.05019,,,2.6325,38.7535,50.17703,,,2.6325,32.6163,44.09971,,,2.63222,42.86556,55.1825,,,2.6325,39.54625,50.93363,,,2.6325,36.13166,46.78756,,,2.6325,37.14667,48.92262,,,2.63278,36.54999,48.09525,,,2.63278,36.63113,48.18595,,,2.63194,38.22896,49.65001,,,2.6325,38.86352,49.94297,,,2.63278,34.8572,46.46449,,,2.63222,40.23304,51.98469,,,2.63222,30.2615,43.55501,,,2.63278,26.4282,39.23149,,,2.63278,42.64129,55.18424,,,2.63222,39.23791,51.66292,,,2.63222,42.48364,54.63525,,,2.63194,44.3229,56.18226,
2.77417,30.33347,41.83036,,,2.77389,29.02698,39.76067,,,2.77417,38.78768,50.12742,,,2.77417,32.50672,43.83549,,,2.77417,42.78081,54.98837,,,2.77389,39.46726,50.94963,,,2.77389,35.97023,46.65291,,,2.77444,36.96765,48.51787,,,2.77444,36.12983,47.62235,,,2.77417,36.35418,48.11862,,,2.77361,38.14895,49.46708,,,2.77389,38.6493,49.88952,,,2.77389,34.73125,46.07624,,,2.77389,39.99732,51.8531,,,2.77389,30.32215,43.4132,,,2.77444,26.48449,39.26756,,,2.77389,42.56313,54.97348,,,2.77389,39.21559,51.53338,,,2.77389,42.55434,54.51427,,,2.77361,44.1339,56.11264,
