Tipo,T [°C],TCD_signal [a.u.]
REF,200.09854,5.05E-04
REF,200.09521,5.44E-04
REF,200.08708,4.10E-04
REF,200.09189,4.86E-04
REF,200.0941,4.86E-04
REF,200.10373,4.70E-04
REF,200.10594,4.41E-04
REF,200.11111,4.51E-04
REF,200.1041,5.05E-04
REF,200.10039,5.27E-04
REF,200.10223,5.75E-04
REF,200.10262,5.84E-04
REF,200.10556,5.91E-04
REF,200.09854,5.94E-04
REF,200.0941,5.44E-04
REF,200.11111,5.94E-04
REF,200.09927,5.46E-04
REF,200.10594,5.91E-04
REF,200.1174,6.48E-04
REF,200.11111,5.05E-04
REF,200.11629,4.60E-04
REF,200.11111,4.96E-04
REF,200.10779,4.22E-04
REF,200.10779,5.46E-04
REF,200.09225,4.77E-04
REF,200.11296,4.79E-04
REF,200.09854,5.65E-04
REF,200.10556,5.84E-04
REF,200.09558,5.75E-04
REF,200.1174,4.39E-04
REF,200.12146,4.77E-04
REF,200.12257,4.48E-04
REF,200.10927,5.25E-04
REF,200.09189,5.08E-04
REF,200.09373,5.05E-04
REF,200.09004,5.72E-04
REF,200.09706,5.63E-04
REF,200.08191,5.27E-04
REF,200.0856,5.53E-04
REF,200.08043,5.75E-04
REF,200.05824,5.72E-04
REF,200.05602,5.46E-04
REF,200.06268,5.27E-04
REF,200.05307,5.56E-04
REF,200.05602,4.60E-04
REF,200.05786,5.27E-04
REF,200.05602,4.79E-04
REF,200.04567,4.20E-04
REF,200.03383,4.32E-04
REF,200.04788,3.84E-04
REF,200.03235,3.84E-04
REF,200.02681,4.01E-04
REF,200.03235,3.27E-04
REF,200.02385,4.58E-04
REF,200.04271,3.34E-04
REF,200.02385,3.65E-04
REF,200.03754,3.36E-04
REF,200.0305,3.05E-04
REF,200.01498,3.62E-04
REF,200.01682,3.93E-04
REF,200.0172,3.93E-04
REF,200.01498,5.17E-04
REF,199.99463,4.86E-04
REF,200.00314,4.67E-04
REF,199.98946,5.75E-04
REF,199.99612,5.82E-04
REF,199.98761,5.65E-04
REF,199.98096,4.89E-04
REF,199.97061,6.51E-04
REF,199.96765,5.44E-04
REF,199.95396,6.79E-04
REF,199.9536,5.94E-04
REF,199.95064,6.96E-04
REF,199.94843,5.63E-04
REF,199.96098,6.39E-04
REF,199.96765,6.70E-04
REF,199.95064,7.37E-04
REF,199.94547,6.51E-04
REF,199.93658,6.79E-04
REF,199.94731,6.32E-04
REF,199.94028,6.03E-04
REF,199.9351,6.29E-04
REF,199.93806,6.70E-04
REF,199.93178,7.18E-04
REF,199.93474,7.27E-04
REF,199.95026,7.27E-04
REF,199.94324,6.51E-04
REF,199.94028,6.39E-04
REF,199.9436,6.13E-04
REF,199.94028,6.96E-04
REF,199.94547,6.68E-04
REF,199.94843,7.27E-04
REF,199.95396,6.70E-04
REF,199.95175,6.51E-04
REF,199.93289,5.94E-04
REF,199.93843,5.91E-04
REF,199.93474,6.01E-04
REF,199.93695,5.75E-04
REF,199.95175,6.32E-04
REF,199.94508,6.13E-04
REF,199.9621,6.32E-04
REF,199.94843,5.63E-04
REF,199.93474,5.25E-04
REF,199.93289,5.08E-04
REF,199.90256,4.79E-04
REF,199.91772,4.86E-04
REF,199.91588,4.01E-04
REF,199.91772,3.74E-04
REF,199.90219,3.15E-04
REF,199.89702,2.98E-04
REF,199.89406,2.67E-04
REF,199.90071,2.60E-04
REF,199.87704,2.19E-04
REF,199.88,2.50E-04
REF,199.88852,2.67E-04
REF,199.88925,3.62E-04
REF,199.88223,3.24E-04
REF,199.88371,4.10E-04
REF,199.88519,3.55E-04
REF,199.89221,4.01E-04
REF,199.90256,3.84E-04
REF,199.89406,3.74E-04
REF,199.90738,3.81E-04
REF,199.89554,3.81E-04
REF,199.91995,3.72E-04
REF,199.91809,2.86E-04
REF,199.90923,2.86E-04
REF,199.9059,3.05E-04
REF,199.92328,3.17E-04
REF,199.92993,2.12E-04
REF,199.92438,2.79E-04
REF,199.93806,2.57E-04
REF,199.94324,2.10E-04
REF,199.94508,2.57E-04
REF,199.94843,2.79E-04
REF,199.96765,2.79E-04
REF,199.95396,2.96E-04
REF,199.94731,3.62E-04
REF,199.95692,3.36E-04
REF,199.95175,3.46E-04
REF,199.93806,3.15E-04
REF,199.95914,4.20E-04
REF,199.95396,3.43E-04
REF,199.95396,4.01E-04
REF,199.94879,3.15E-04
REF,199.95026,3.91E-04
REF,199.94508,2.69E-04
REF,199.94214,2.77E-04
REF,199.92661,3.34E-04
REF,199.93806,2.77E-04
REF,199.94214,3.34E-04
REF,199.94731,2.96E-04
REF,199.94879,2.69E-04
REF,199.93178,2.50E-04
REF,199.92807,1.74E-04
REF,199.92993,2.98E-04
REF,199.94028,2.69E-04
REF,199.93806,3.24E-04
REF,199.95175,3.05E-04
REF,199.92957,3.17E-04
REF,199.91957,2.79E-04
REF,199.94508,2.60E-04
REF,199.92624,3.17E-04
REF,199.91624,2.96E-04
REF,199.92513,2.60E-04
REF,199.92142,2.88E-04
REF,199.93178,3.05E-04
REF,199.91995,2.79E-04
REF,199.92957,2.38E-04
REF,199.91809,3.27E-04
REF,199.92957,2.48E-04
REF,199.93806,2.03E-04
REF,199.94028,2.29E-04
REF,199.94176,1.84E-04
REF,199.93658,1.84E-04
REF,199.93843,1.84E-04
REF,199.94547,1.81E-04
REF,199.94843,1.62E-04
REF,199.95064,1.93E-04
REF,199.95544,1.93E-04
REF,199.9536,2.50E-04
REF,199.9621,2.48E-04
REF,199.96765,3.08E-04
REF,199.96098,2.86E-04
REF,199.9621,2.48E-04
REF,199.95877,2.69E-04
REF,199.96542,2.67E-04
REF,199.94843,2.29E-04
REF,199.94176,2.10E-04
REF,199.95396,3.36E-04
REF,199.96394,3.36E-04
REF,199.95544,2.88E-04
REF,199.96432,3.34E-04
REF,199.9621,3.34E-04
REF,199.95396,3.08E-04
REF,199.94547,3.27E-04
REF,199.94508,3.15E-04
REF,199.95544,2.60E-04
REF,199.94731,3.27E-04
REF,199.94028,4.48E-04
REF,199.95175,3.74E-04
REF,199.94843,3.91E-04
REF,199.93806,3.46E-04
REF,199.93178,3.84E-04
REF,199.93806,3.81E-04
REF,199.9436,3.62E-04
REF,199.95026,3.53E-04
REF,199.94324,2.98E-04
REF,199.91772,2.69E-04
REF,199.91809,2.86E-04
REF,199.92624,2.38E-04
REF,199.91292,2.67E-04
REF,199.91144,1.74E-04
REF,199.91809,1.07E-04
REF,199.91255,1.74E-04
REF,199.9144,2.00E-04
REF,199.92328,2.38E-04
REF,199.9229,1.93E-04
REF,199.91624,1.55E-04
REF,199.92661,2.38E-04
REF,199.92142,2.29E-04
REF,199.93289,1.72E-04
REF,199.93991,1.65E-04
REF,199.91292,1.72E-04
REF,199.92328,1.14E-04
REF,199.95026,8.58E-05
REF,199.93474,1.55E-04
REF,199.93806,1.05E-04
REF,199.95175,1.14E-04
REF,199.93806,1.14E-04
REF,199.9436,2.10E-04
REF,199.94028,2.19E-04
REF,199.95175,2.67E-04
REF,199.9621,3.08E-04
REF,199.94843,2.10E-04
REF,199.95064,1.93E-04
REF,199.94324,2.00E-04
REF,199.93843,3.08E-04
REF,199.94508,3.24E-04
REF,199.95175,3.72E-04
REF,199.96765,3.24E-04
REF,199.95692,2.48E-04
REF,199.95914,2.57E-04
REF,199.95729,3.34E-04
REF,199.96765,2.69E-04
REF,199.978,2.57E-04
REF,199.9695,2.22E-04
REF,199.9621,1.81E-04
REF,199.95914,1.65E-04
REF,199.97244,2.10E-04
REF,199.96765,2.57E-04
REF,199.95877,1.84E-04
REF,199.95692,2.38E-04
REF,199.95877,1.43E-04
REF,199.93178,1.24E-04
REF,199.92993,2.03E-04
REF,199.92993,1.84E-04
REF,199.91588,2.86E-04
REF,199.93289,2.98E-04
REF,199.92845,2.57E-04
REF,199.94547,3.15E-04
REF,199.92993,2.67E-04
REF,199.92105,2.38E-04
REF,199.92142,2.22E-04
REF,199.92513,2.98E-04
REF,199.92957,2.88E-04
REF,199.93178,1.36E-04
REF,199.94508,1.36E-04
REF,199.94731,8.58E-05
REF,199.94731,8.82E-05
REF,199.9436,1.81E-04
REF,199.94324,1.14E-04
REF,199.94731,1.24E-04
REF,199.96579,1.65E-04
REF,199.9695,6.91E-05
REF,199.95396,8.82E-05
REF,199.97061,4.05E-05
REF,199.95914,0
REF,199.96432,7.63E-05
REF,199.97578,5.01E-05
REF,199.96579,7.63E-05
REF,199.9621,6.91E-05
REF,199.96246,1.17E-04
REF,199.97282,1.81E-04
REF,199.97578,1.93E-04
REF,199.97948,2.50E-04
REF,199.98317,2.38E-04
REF,199.978,1.93E-04
REF,199.98465,2.38E-04
REF,199.99686,2.00E-04
REF,200.00018,1.93E-04
REF,199.99686,1.24E-04
REF,199.99501,1.17E-04
REF,199.99316,2.12E-04
REF,200.0013,1.45E-04
REF,200.00647,2.86E-04
REF,199.99686,2.10E-04
REF,199.99168,2.00E-04
REF,199.99686,2.19E-04
REF,200.00832,1.91E-04
REF,200.01535,1.84E-04
REF,200.00314,1.84E-04
REF,200.01498,8.82E-05
REF,199.99834,1.74E-04
REF,200.01904,7.87E-05
REF,200.03754,1.34E-04
REF,200.0564,1.55E-04
REF,200.05936,1.74E-04
REF,200.07155,2.19E-04
REF,200.09521,1.81E-04
REF,200.13515,2.03E-04
REF,200.16583,2.60E-04
REF,200.21355,2.69E-04
REF,200.2764,2.79E-04
REF,200.32225,3.65E-04
REF,200.38548,3.55E-04
REF,200.46277,4.12E-04
REF,200.52045,4.22E-04
REF,200.62509,4.51E-04
REF,200.71568,4.51E-04
REF,200.80739,4.86E-04
REF,200.92868,4.70E-04
REF,201.0385,4.41E-04
REF,201.17162,3.81E-04
REF,201.28551,3.74E-04
REF,201.43452,4.01E-04
REF,201.54361,3.91E-04
REF,201.68744,2.79E-04
REF,201.82907,3.91E-04
REF,201.97069,4.12E-04
REF,202.11046,4.51E-04
REF,202.26909,4.01E-04
REF,202.42514,5.08E-04
REF,202.59412,4.98E-04
REF,202.74425,5.17E-04
REF,202.93726,4.29E-04
REF,203.10957,5.82E-04
REF,203.28189,5.44E-04
REF,203.45605,5.27E-04
REF,203.63058,6.22E-04
REF,203.82361,5.65E-04
REF,204.00627,6.03E-04
REF,204.19559,6.68E-04
REF,204.40599,6.29E-04
REF,204.60603,6.10E-04
REF,204.82272,6.13E-04
REF,205.02202,6.20E-04
REF,205.2291,6.58E-04
REF,205.41879,6.96E-04
REF,205.62512,6.39E-04
REF,205.83218,7.37E-04
REF,206.05072,7.15E-04
REF,206.27074,6.89E-04
REF,206.48743,7.94E-04
REF,206.71446,7.44E-04
REF,206.94186,7.27E-04
REF,207.18628,8.13E-04
REF,207.40445,7.84E-04
REF,207.63889,8.11E-04
REF,207.86925,7.72E-04
REF,208.10147,7.15E-04
REF,208.33849,8.03E-04
REF,208.59326,7.84E-04
REF,208.82916,7.75E-04
REF,209.07617,7.82E-04
REF,209.32245,8.20E-04
REF,209.58054,8.32E-04
REF,209.83495,8.30E-04
REF,210.08084,9.63E-04
REF,210.34375,9.16E-04
REF,210.60999,8.80E-04
REF,210.84775,9.75E-04
REF,211.10362,9.73E-04
REF,211.38354,9.85E-04
REF,211.64127,0.00103
REF,211.89752,0.0011
REF,212.18298,0.00114
REF,212.44551,0.00113
REF,212.72913,0.00118
REF,213.00905,0.00122
REF,213.29266,0.00124
REF,213.58182,0.00132
REF,213.86691,0.00126
REF,214.15201,0.00139
REF,214.43228,0.00146
REF,214.71553,0.00147
REF,215.00949,0.0014
REF,215.2957,0.00146
REF,215.58485,0.00147
REF,215.88844,0.00152
REF,216.19461,0.00154
REF,216.50041,0.00158
REF,216.79881,0.00166
REF,217.09796,0.00161
REF,217.40154,0.00167
REF,217.71103,0.00177
REF,218.02533,0.00167
REF,218.32375,0.00179
REF,218.61734,0.00178
REF,218.91797,0.00183
REF,219.23596,0.00185
REF,219.53844,0.00201
REF,219.84016,0.00205
REF,220.16002,0.00213
REF,220.45879,0.00224
REF,220.77272,0.0023
REF,221.09406,0.00231
REF,221.39615,0.00245
REF,221.70343,0.00244
REF,222.0318,0.00255
REF,222.34387,0.00255
REF,222.66521,0.00263
REF,222.99319,0.00266
REF,223.31526,0.00274
REF,223.64139,0.0028
REF,223.96495,0.00283
REF,224.25522,0.00295
REF,224.58986,0.00289
REF,224.9171,0.0031
REF,225.25211,0.00308
REF,225.5849,0.00322
REF,225.90771,0.00329
REF,226.24124,0.0034
REF,226.54483,0.00342
REF,226.86801,0.00354
REF,227.19562,0.00365
REF,227.50438,0.00376
REF,227.83754,0.00387
REF,228.16405,0.00392
REF,228.47798,0.004
REF,228.8093,0.004
REF,229.14394,0.0041
REF,229.46823,0.00421
REF,229.8036,0.00428
REF,230.14011,0.00431
REF,230.50174,0.00447
REF,230.82935,0.00446
REF,231.14365,0.00448
REF,231.47163,0.00459
REF,231.81146,0.00468
REF,232.15497,0.00479
REF,232.4726,0.00476
REF,232.8006,0.00489
REF,233.14853,0.00502
REF,233.4939,0.00511
REF,233.82855,0.00521
REF,234.15469,0.00526
REF,234.48267,0.00523
REF,234.82211,0.0054
REF,235.18411,0.00549
REF,235.50916,0.00562
REF,235.84674,0.00563
REF,236.20358,0.00583
REF,236.53046,0.00587
REF,236.87692,0.00595
REF,237.2356,0.00596
REF,237.55324,0.00606
REF,237.8949,0.00619
REF,238.2399,0.00636
REF,238.55901,0.00638
REF,238.89218,0.00651
REF,239.23346,0.00661
REF,239.58142,0.00673
REF,239.93011,0.00681
REF,240.26477,0.007
REF,240.59402,0.00702
REF,240.94057,0.00712
REF,241.26152,0.00724
REF,241.58429,0.00737
REF,241.93517,0.00758
REF,242.27269,0.00765
REF,242.60231,0.00778
REF,242.94525,0.00793
REF,243.28783,0.00808
REF,243.61671,0.00823
REF,243.96326,0.00828
REF,244.29286,0.00843
REF,244.6232,0.00844
REF,244.95929,0.00853
REF,245.29755,0.00871
REF,245.65202,0.00888
REF,245.991,0.00904
REF,246.32205,0.00909
REF,246.65022,0.0092
REF,247.009,0.00934
REF,247.35843,0.00948
REF,247.67831,0.00968
REF,248.03783,0.00975
REF,248.38148,0.0098
REF,248.72298,0.0099
REF,249.07385,0.01005
REF,249.41823,0.01016
REF,249.7608,0.01027
REF,250.1088,0.01038
REF,250.44957,0.01059
REF,250.79431,0.01064
REF,251.11671,0.01079
REF,251.46289,0.0109
REF,251.81592,0.01104
REF,252.16534,0.01119
REF,252.49783,0.01129
REF,252.84583,0.01132
REF,253.19345,0.01143
REF,253.52629,0.01157
REF,253.87212,0.01173
REF,254.21326,0.01187
REF,254.55763,0.01189
REF,254.89697,0.01206
REF,255.22803,0.01217
REF,255.57097,0.01236
REF,255.90994,0.01249
REF,256.25467,0.01254
REF,256.60699,0.01266
REF,256.94345,0.01281
REF,257.2691,0.01291
REF,257.62897,0.01312
REF,257.97479,0.01329
REF,258.30728,0.01332
REF,258.64984,0.01346
REF,258.98126,0.01354
REF,259.32852,0.01366
REF,259.66858,0.01385
REF,260.0144,0.01391
REF,260.38544,0.01412
REF,260.73126,0.01424
REF,261.05225,0.01432
REF,261.40167,0.01446
REF,261.73486,0.01454
REF,262.08899,0.01465
REF,262.43985,0.01482
REF,262.79108,0.01491
REF,263.13544,0.01499
REF,263.4899,0.01508
REF,263.84042,0.01514
REF,264.18372,0.01525
REF,264.54321,0.01533
REF,264.8869,0.01551
REF,265.21866,0.0156
REF,265.57635,0.01564
REF,265.91211,0.01573
REF,266.27341,0.01574
REF,266.60229,0.01583
REF,266.95316,0.01594
REF,267.29755,0.01602
REF,267.64554,0.01613
REF,267.9881,0.01622
REF,268.34473,0.01632
REF,268.68228,0.01639
REF,269.0162,0.01642
REF,269.3606,0.01654
REF,269.68732,0.01666
REF,270.04504,0.01677
REF,270.38437,0.01682
REF,270.72659,0.01699
REF,271.06952,0.0171
REF,271.41031,0.01711
REF,271.74857,0.01727
REF,272.08105,0.01725
REF,272.43228,0.01734
REF,272.77484,0.01746
REF,273.11276,0.01751
REF,273.46866,0.0175
REF,273.80978,0.0176
REF,274.15094,0.01767
REF,274.4917,0.01779
REF,274.80978,0.0178
REF,275.17038,0.0179
REF,275.50684,0.01796
REF,275.84619,0.01805
REF,276.18875,0.01805
REF,276.5162,0.01813
REF,276.85446,0.01811
REF,277.18658,0.01817
REF,277.53601,0.01826
REF,277.87213,0.01823
REF,278.19632,0.01829
REF,278.56628,0.01835
REF,278.88724,0.01831
REF,279.21326,0.01843
REF,279.55908,0.01849
REF,279.90851,0.01856
REF,280.25433,0.01869
REF,280.59943,0.01878
REF,280.94849,0.01881
REF,281.29288,0.01889
REF,281.64734,0.01892
REF,281.9917,0.01896
REF,282.32455,0.01902
REF,282.68048,0.01916
REF,283.03098,0.01924
REF,283.37247,0.01919
REF,283.72479,0.01921
REF,284.07095,0.01921
REF,284.42365,0.01932
REF,284.75793,0.01939
REF,285.09906,0.01933
REF,285.44019,0.01944
REF,285.78961,0.01938
REF,286.11887,0.01931
REF,286.46326,0.01949
REF,286.79935,0.01946
REF,287.1405,0.01958
REF,287.47189,0.01961
REF,287.82962,0.01972
REF,288.17398,0.01979
REF,288.51334,0.01986
REF,288.8595,0.01996
REF,289.21399,0.01996
REF,289.55765,0.02
REF,289.89554,0.02001
REF,290.2554,0.02
REF,290.59439,0.02004
REF,290.94849,0.02011
REF,291.29828,0.02014
REF,291.62573,0.02017
REF,291.95569,0.02015
REF,292.30945,0.02016
REF,292.67398,0.02021
REF,293.02484,0.02026
REF,293.38077,0.0203
REF,293.71902,0.02033
REF,294.08286,0.02033
REF,294.40598,0.02036
REF,294.75037,0.02046
REF,295.10123,0.02058
REF,295.44562,0.0206
REF,295.80331,0.02061
REF,296.13147,0.02067
REF,296.4809,0.02073
REF,296.83142,0.02068
REF,297.18445,0.02074
REF,297.52844,0.02069
REF,297.87643,0.02079
REF,298.22406,0.02084
REF,298.55835,0.0209
REF,298.90921,0.02094
REF,299.23523,0.02102
REF,299.57349,0.0211
REF,299.90634,0.02113
REF,300.27054,0.02117
REF,300.60519,0.02119
REF,300.97226,0.02115
REF,301.31485,0.02124
REF,301.66608,0.02123
REF,301.9989,0.02136
REF,302.34689,0.0214
REF,302.70786,0.02138
REF,303.04898,0.02145
REF,303.39804,0.02157
REF,303.7356,0.02153
REF,304.07205,0.02152
REF,304.41821,0.02155
REF,304.76367,0.02159
REF,305.09006,0.02153
REF,305.42975,0.02161
REF,305.78061,0.02161
REF,306.1333,0.0216
REF,306.46072,0.02175
REF,306.81519,0.02174
REF,307.15344,0.02169
REF,307.49927,0.02176
REF,307.86023,0.02175
REF,308.20425,0.02181
REF,308.53531,0.02185
REF,308.88654,0.02184
REF,309.23633,0.02186
REF,309.57565,0.02181
REF,309.91785,0.02189
REF,310.2561,0.02188
REF,310.60193,0.02186
REF,310.94632,0.02186
REF,311.29718,0.02189
REF,311.63507,0.02195
REF,311.97479,0.0219
REF,312.31088,0.02187
REF,312.66968,0.02188
REF,313.01584,0.02185
REF,313.36493,0.02181
REF,313.71289,0.02182
REF,314.04538,0.02182
REF,314.3869,0.0219
REF,314.73126,0.02181
REF,315.07529,0.02182
REF,315.40491,0.0218
REF,315.7446,0.02179
REF,316.10843,0.02176
REF,316.45822,0.02184
REF,316.80762,0.02184
REF,317.15381,0.0219
REF,317.48486,0.02188
REF,317.83356,0.02184
REF,318.18515,0.02188
REF,318.53421,0.02192
REF,318.87717,0.0219
REF,319.21506,0.02188
REF,319.57095,0.02186
REF,319.91821,0.02178
REF,320.24484,0.02184
REF,320.59103,0.02192
REF,320.91571,0.0219
REF,321.25806,0.02192
REF,321.5813,0.02192
REF,321.90915,0.02184
REF,322.24866,0.02192
REF,322.58746,0.02192
REF,322.93546,0.02195
REF,323.26297,0.02192
REF,323.59152,0.02198
REF,323.92889,0.02192
REF,324.25674,0.02192
REF,324.59131,0.02186
REF,324.93576,0.02187
REF,325.26044,0.02177
REF,325.60278,0.0219
REF,325.93875,0.02179
REF,326.25107,0.02184
REF,326.58844,0.02178
REF,326.92264,0.02186
REF,327.25934,0.02186
REF,327.61652,0.02177
REF,327.95779,0.02181
REF,328.29059,0.0218
REF,328.62796,0.02184
REF,328.96219,0.0218
REF,329.29886,0.02185
REF,329.65073,0.02184
REF,330.00473,0.02192
REF,330.33823,0.0219
REF,330.68234,0.0219
REF,331.0137,0.02199
REF,331.36877,0.02195
REF,331.70544,0.02206
REF,332.05591,0.02211
REF,332.40002,0.0222
REF,332.72961,0.02229
REF,333.07584,0.02236
REF,333.41995,0.02239
REF,333.7644,0.02245
REF,334.10709,0.02245
REF,334.43811,0.02257
REF,334.79211,0.02262
REF,335.1362,0.02266
REF,335.47397,0.02277
REF,335.81665,0.02288
REF,336.16641,0.02289
REF,336.48932,0.02291
REF,336.8447,0.02295
REF,337.16937,0.0229
REF,337.52231,0.02308
REF,337.84698,0.02313
REF,338.21829,0.02314
REF,338.52847,0.02322
REF,338.8634,0.02326
REF,339.21384,0.02325
REF,339.54346,0.02337
REF,339.87662,0.02337
REF,340.21436,0.02348
REF,340.55811,0.02347
REF,340.89761,0.02355
REF,341.23395,0.02362
REF,341.56992,0.02367
REF,341.90131,0.02373
REF,342.23233,0.0237
REF,342.56055,0.02374
REF,342.89651,0.02377
REF,343.23248,0.02382
REF,343.57516,0.02382
REF,343.92105,0.02375
REF,344.26407,0.02368
REF,344.60959,0.02376
REF,344.96677,0.02383
REF,345.30804,0.02377
REF,345.66061,0.02377
REF,345.99341,0.0238
REF,346.32303,0.02378
REF,346.67032,0.02377
REF,346.99854,0.02375
REF,347.3299,0.02382
REF,347.67542,0.02393
REF,348.01352,0.02389
REF,348.36255,0.02378
REF,348.71445,0.02378
REF,349.05429,0.02383
REF,349.40298,0.02378
REF,349.75275,0.02378
REF,350.08554,0.02372
REF,350.41162,0.02379
REF,350.75113,0.02381
REF,351.07404,0.02384
REF,351.41495,0.02385
REF,351.7626,0.02374
REF,352.10352,0.02373
REF,352.43948,0.02364
REF,352.75781,0.02368
REF,353.09766,0.02363
REF,353.44,0.02364
REF,353.80072,0.02363
REF,354.13138,0.02358
REF,354.46454,0.02356
REF,354.79413,0.02346
REF,355.13223,0.0234
REF,355.46469,0.02334
REF,355.80878,0.02331
REF,356.14371,0.02328
REF,356.4751,0.02335
REF,356.78668,0.02319
REF,357.1322,0.02325
REF,357.45688,0.02319
REF,357.79816,0.02316
REF,358.13589,0.02323
REF,358.47858,0.02313
REF,358.80783,0.02315
REF,359.15051,0.02307
REF,359.50311,0.02305
REF,359.84579,0.02301
REF,360.17719,0.02302
REF,360.52304,0.02293
REF,360.85089,0.02291
REF,361.19534,0.02292
REF,361.52426,0.02281
REF,361.85599,0.02283
REF,362.20151,0.02284
REF,362.54736,0.02282
REF,362.87912,0.02279
REF,363.21368,0.02274
REF,363.56238,0.02276
REF,363.90012,0.02271
REF,364.22974,0.02265
REF,364.57275,0.02261
REF,364.91016,0.02265
REF,365.24826,0.02259
REF,365.58707,0.02259
REF,365.94141,0.02254
REF,366.28055,0.02254
REF,366.61371,0.02249
REF,366.95605,0.0225
REF,367.27472,0.0224
REF,367.62164,0.02241
REF,367.9696,0.0224
REF,368.30737,0.02235
REF,368.63873,0.02237
REF,368.9906,0.02236
REF,369.32199,0.02235
REF,369.65515,0.02235
REF,369.98618,0.02228
REF,370.32745,0.0223
REF,370.67014,0.02227
REF,371.00894,0.0223
REF,371.33716,0.02237
REF,371.65863,0.02219
REF,371.9978,0.02221
REF,372.34189,0.02219
REF,372.6701,0.02212
REF,372.98312,0.02219
REF,373.33569,0.02208
REF,373.68686,0.02205
REF,373.9967,0.0221
REF,374.32913,0.02204
REF,374.65451,0.02217
REF,375.0018,0.02214
REF,375.34094,0.02205
REF,375.66595,0.02207
REF,375.9903,0.02214
REF,376.32132,0.02207
REF,376.67108,0.02205
REF,376.99396,0.02198
REF,377.32358,0.02195
REF,377.673,0.02198
REF,378.00684,0.02191
REF,378.32199,0.02186
REF,378.66608,0.02192
REF,379.00699,0.02184
REF,379.34015,0.02191
REF,379.65033,0.02182
REF,379.99902,0.02177
REF,380.33536,0.02174
REF,380.66214,0.02179
REF,380.98682,0.02171
REF,381.32776,0.02171
REF,381.65347,0.02161
REF,382.00323,0.02161
REF,382.32294,0.02158
REF,382.65717,0.0216
REF,382.97369,0.02168
REF,383.31781,0.02156
REF,383.66861,0.02159
REF,384.01837,0.02151
REF,384.34305,0.0215
REF,384.6889,0.02157
REF,385.01465,0.02159
REF,385.3591,0.02159
REF,385.68234,0.02156
REF,386.02185,0.02155
REF,386.37091,0.02161
REF,386.6991,0.02152
REF,387.01178,0.02145
REF,387.36472,0.02145
REF,387.70068,0.02148
REF,388.02216,0.02146
REF,388.36487,0.02144
REF,388.68634,0.02144
REF,389.02234,0.02138
REF,389.35687,0.02135
REF,389.70593,0.02136
REF,390.03522,0.02129
REF,390.38318,0.02136
REF,390.70963,0.02128
REF,391.04559,0.02125
REF,391.38123,0.02137
REF,391.71402,0.02126
REF,392.05566,0.0213
REF,392.39832,0.02126
REF,392.71594,0.0213
REF,393.04062,0.02115
REF,393.38684,0.02125
REF,393.74225,0.02129
REF,394.07043,0.02128
REF,394.41312,0.02127
REF,394.75229,0.02138
REF,395.08826,0.02133
REF,395.42493,0.0214
REF,395.75598,0.02132
REF,396.09689,0.0213
REF,396.44241,0.02133
REF,396.7706,0.02136
REF,397.09741,0.02141
REF,397.43021,0.02135
REF,397.77606,0.02133
REF,398.11346,0.02141
REF,398.4512,0.02137
REF,398.79846,0.02149
REF,399.13516,0.02137
REF,399.45276,0.02143
REF,399.78625,0.02144
REF,400.10904,0.02136
REF,400.43378,0.0214
REF,400.76373,0.02135
REF,401.10516,0.02145
REF,401.43201,0.02147
REF,401.77136,0.02154
REF,402.11383,0.0216
REF,402.44415,0.02165
REF,402.77548,0.02161
REF,403.09848,0.02161
REF,403.42249,0.02172
REF,403.75558,0.02177
REF,404.08694,0.02178
REF,404.42279,0.02183
REF,404.75974,0.02198
REF,405.09735,0.02187
REF,405.4259,0.02198
REF,405.77014,0.02193
REF,406.09174,0.02198
REF,406.43143,0.02196
REF,406.7579,0.02201
REF,407.09238,0.02204
REF,407.42267,0.02201
REF,407.77142,0.02202
REF,408.0885,0.0221
REF,408.42819,0.02213
REF,408.75189,0.02213
REF,409.08603,0.02219
REF,409.42294,0.02222
REF,409.76056,0.02225
REF,410.09991,0.02231
REF,410.43124,0.02233
REF,410.75214,0.02241
REF,411.07861,0.02246
REF,411.41171,0.0225
REF,411.7319,0.0225
REF,412.08066,0.02257
REF,412.40958,0.02257
REF,412.74368,0.02257
REF,413.0834,0.02247
REF,413.4245,0.02251
REF,413.7562,0.02262
REF,414.09415,0.02263
REF,414.41714,0.02265
REF,414.77148,0.02265
REF,415.08716,0.02268
REF,415.42023,0.02266
REF,415.7547,0.02271
REF,416.09442,0.02275
REF,416.43344,0.02275
REF,416.76337,0.02282
REF,417.09857,0.02278
REF,417.41666,0.0228
REF,417.76089,0.0228
REF,418.10095,0.0227
REF,418.41141,0.0226
REF,418.75562,0.02267
REF,419.09186,0.02263
REF,419.42667,0.02255
REF,419.76428,0.02257
REF,420.09146,0.02255
REF,420.43082,0.02247
REF,420.76877,0.02237
REF,421.10989,0.02227
REF,421.43323,0.02219
REF,421.76596,0.02219
REF,422.08685,0.02203
REF,422.41922,0.02196
REF,422.75302,0.0219
REF,423.07425,0.02176
REF,423.40909,0.02172
REF,423.7373,0.02158
REF,424.06238,0.02155
REF,424.39093,0.02141
REF,424.72681,0.02137
REF,425.06024,0.02126
REF,425.38983,0.02117
REF,425.71838,0.02102
REF,426.04486,0.02089
REF,426.37619,0.02079
REF,426.72217,0.0207
REF,427.04865,0.02061
REF,427.38522,0.0205
REF,427.71866,0.02046
