TOS_30H2_CO2 [h],X_CH4_30H2_CO2 [%],X_CO2_30H2_CO2 [%],,TOS_4CO2 [h],X_CH4_4CO2 [%],X_CO2_4CO2 [%],,TOS_30CO2 [h],X_CH4_30CO2 [%],X_CO2_30CO2 [%],,TOS_60CO2 [h],X_CH4_60CO2 [%],X_CO2_60CO2 [%]
6.88056,25.85895,36.82966,,6.88083,26.24504,36.75614,,6.88056,26.32108,37.0364,,6.88028,28.99436,39.8382
7.02222,25.83517,36.64239,,7.02222,26.13788,36.77225,,7.02194,26.29061,36.96443,,7.02167,28.93654,39.78159
7.16389,25.68393,36.51934,,7.16361,26.09082,36.62671,,7.16389,26.32516,36.99128,,7.16333,28.78903,39.73649
7.30528,25.66128,36.55544,,7.30583,26.06757,36.70563,,7.30528,26.26118,36.81052,,7.305,28.74552,39.83108
7.44667,25.61926,36.48748,,7.44722,26.08533,36.69752,,7.44694,26.06534,36.62549,,7.44694,28.67703,39.76421
7.58833,25.55184,36.35684,,7.58861,26.06296,36.59534,,7.58833,25.98447,36.82797,,7.58833,28.58495,39.59168
7.73,25.47807,36.35961,,7.73028,26.02061,36.48562,,7.73028,26.20311,36.66524,,7.73,28.60543,39.49921
7.87194,25.53969,36.37771,,7.87167,25.98964,36.24748,,7.87194,25.98341,36.59178,,7.87194,28.60306,39.59659
8.01333,25.3302,36.26572,,8.01333,25.99712,36.40412,,8.01306,26.19678,36.55974,,8.01333,28.58497,39.32321
8.155,25.46984,36.18889,,8.155,25.90105,36.30733,,8.15472,26.09728,36.54087,,8.155,28.44211,39.30871
8.29639,25.27831,36.08091,,8.29667,25.79018,36.21645,,8.29639,25.96211,36.51499,,8.29667,28.41424,39.29154
8.43833,25.2762,36.0886,,8.43833,25.72259,35.99318,,8.43778,26.03059,36.46496,,8.43806,28.31325,39.06054
8.58,25.18013,36.00342,,8.58,25.63797,36.03797,,8.57944,25.96549,36.46741,,8.57944,28.26719,39.13945
8.72139,25.19323,36.05837,,8.72139,25.61476,35.86486,,8.72111,25.96558,36.24951,,8.72111,28.29586,38.93044
8.86306,25.23218,36.02496,,8.86306,25.5556,36.01847,,8.86278,25.82209,36.43352,,8.86278,28.274,39.21418
9.00444,25.10972,35.88499,,9.00472,25.39355,35.91984,,9.00417,25.78129,36.20209,,9.00417,28.1946,38.95346
9.14611,25.09299,35.72597,,9.14667,25.42233,35.76548,,9.14583,25.70228,36.21747,,9.14583,28.12527,38.77204
9.28806,24.93482,35.63615,,9.28806,25.38096,35.80587,,9.28778,25.62002,36.10029,,9.28778,28.19152,38.96597
9.42972,24.86708,35.56333,,9.42972,25.1993,35.71243,,9.42944,25.60793,36.02789,,9.42944,27.97189,38.8357
9.57111,24.9132,35.54919,,9.57139,25.1929,35.59211,,9.57111,25.52301,35.81701,,9.57083,27.90709,38.82971
9.71278,24.68743,35.55306,,9.71306,25.1384,35.51181,,9.7125,25.45244,35.90791,,9.71278,27.88468,38.72539
9.85472,24.83797,35.45769,,9.85472,25.07241,35.69637,,9.85444,25.3385,35.85523,,9.85444,27.79884,38.49502
9.99639,24.69298,35.38768,,9.99611,24.98109,35.53201,,9.99611,25.3311,35.7977,,9.99611,27.73561,38.56062
10.13778,24.55307,35.35391,,10.13778,25.03076,35.61683,,10.13778,25.29258,35.83864,,10.1375,27.79346,38.7173
10.27944,24.77125,35.32378,,10.27944,24.89905,35.45327,,10.27944,25.12014,35.83896,,10.27917,27.68631,38.45749
10.42111,24.60449,35.22671,,10.42111,24.89352,35.26277,,10.42056,25.19929,35.82127,,10.42111,27.67247,38.52104
10.56278,24.42246,35.23299,,10.5625,24.70004,35.29969,,10.56222,25.13872,35.58789,,10.56278,27.5842,38.42207
10.70417,24.46672,35.18402,,10.70417,24.76165,35.40613,,10.70417,25.03381,35.65805,,10.70389,27.58537,38.33384
10.84583,24.3843,35.07385,,10.84583,24.6993,35.39577,,10.84556,24.97183,35.72048,,10.84556,27.52941,38.36519
10.9875,24.46231,35.06023,,10.98778,24.72577,35.20226,,10.98722,24.91417,35.57272,,10.98722,27.5058,38.38895
