Tipo,TOS [h],X_CH4 [%],X_CO2 [%]
1Mn,1.21639,39.76168,51.06344
1Mn,1.35806,39.44701,50.93295
1Mn,1.49944,39.45733,50.96618
1Mn,1.64139,39.32573,50.82393
1Mn,1.78306,39.15338,50.64607
1Mn,1.92417,39.12822,50.70821
1Mn,2.06583,38.95607,50.65555
1Mn,2.2075,39.11817,50.4405
1Mn,2.34917,38.75599,50.51161
1Mn,2.49083,38.78343,50.2165
1Mn,2.6325,38.7535,50.17703
1Mn,2.77417,38.78768,50.12742
1Mn,2.91556,38.55136,50.17112
1Mn,3.05722,38.45002,49.96078
1Mn,3.19889,38.32598,50.03854
1Mn,3.34056,38.21845,49.93336
1Mn,3.48194,38.24637,49.8342
1Mn,3.62361,38.22327,49.83615
1Mn,3.76556,38.16216,49.70004
1Mn,3.90694,38.02692,49.63825
1Mn,4.04861,38.01157,49.6012
1Mn,4.19056,37.9266,49.59663
1Mn,4.33194,37.79939,49.54127
1Mn,4.47361,37.53091,49.7138
1Mn,4.61528,37.66839,49.43193
1Mn,4.75667,37.61383,49.38856
1Mn,4.89806,37.5841,49.38308
1Mn,5.04,37.4395,49.41368
1Mn,5.18111,37.64938,49.05344
1Mn,5.32278,37.49762,49.1065
1Mn,5.46472,37.42397,49.0912
1Mn,5.60639,37.3471,49.13605
1Mn,5.74806,37.36193,49.06989
1Mn,5.88972,37.15982,48.88552
1Mn,6.03083,37.14219,48.87833
1Mn,6.17278,37.29376,48.88396
1Mn,6.31444,37.1682,48.93255
1Mn,6.45611,37.17653,48.7553
1Mn,6.5975,37.10955,48.66198
1Mn,6.73944,36.96114,48.70149
1Mn,6.88056,36.94374,48.63791
1Mn,7.02222,36.87795,48.7042
1Mn,7.16389,36.86412,48.63846
1Mn,7.30556,36.87703,48.42789
1Mn,7.44722,36.84935,48.39414
1Mn,7.58889,36.68128,48.47301
1Mn,7.73028,36.57836,48.38628
1Mn,7.87222,36.61654,48.4554
1Mn,8.01361,36.64317,48.30445
1Mn,8.15556,36.4791,48.32315
1Mn,8.29694,36.47479,48.24634
1Mn,8.43833,36.64246,48.036
1Mn,8.58,36.48532,48.15738
1Mn,8.72167,36.35888,48.09673
1Mn,8.86333,36.51236,48.0735
1Mn,9.00472,36.34512,48.19283
1Mn,9.14639,36.48034,48.05557
1Mn,9.28806,36.26893,47.94914
1Mn,9.42944,36.29499,47.80085
1Mn,9.57139,36.23957,47.82346
1Mn,9.71306,36.11958,47.80877
1Mn,9.85472,36.19833,47.82423
1Mn,9.99639,36.14514,47.72025
1Mn,10.13806,36.05971,47.72414
1Mn,10.27972,35.89203,47.70465
1Mn,10.42083,36.01107,47.63792
1Mn,10.5625,36.02925,47.55875
1Mn,10.70417,35.75202,47.72765
1Mn,10.84556,35.73236,47.53112
1Mn,10.98722,35.72861,47.28353
1Mn,11.12917,35.80543,47.33144
1Mn,11.27083,35.67304,47.39956
1Mn,11.41194,35.62829,47.28031
1Mn,11.55389,35.71193,47.36122
1Mn,11.69556,35.57807,47.3887
1Mn,11.83722,35.61331,47.24981
1Mn,11.97889,35.35096,47.14636
1Mn,12.12028,35.62313,47.13633
1Mn,12.26167,35.50017,47.03309
