Tipo,TOS [h],X_CH4 [%],X_CO2 [%]
REF_C1,0.08333,41.2781,53.47585
REF_C1,0.22472,40.29918,52.13512
REF_C1,0.36667,39.20438,51.03392
REF_C1,0.50806,38.43995,50.06003
REF_C1,0.64972,36.70902,48.50942
REF_C1,0.79139,35.9456,47.75898
REF_C1,0.93333,35.42601,47.07281
REF_C1,1.07472,34.67051,46.21313
REF_C1,1.21639,34.02727,45.65794
REF_C1,1.35806,33.55408,45.03147
REF_C1,1.49917,33.1598,44.71624
REF_C1,1.64083,32.70033,44.31259
REF_C1,1.7825,32.18984,43.46108
REF_C1,1.92417,31.77549,43.18119
REF_C1,2.06556,31.48783,42.95065
REF_C1,2.2075,31.18436,42.6059
REF_C1,2.34889,30.88304,42.24955
REF_C1,2.49056,30.67237,42.1134
REF_C1,2.63222,30.33408,41.80922
REF_C1,2.77389,30.28922,41.44242
REF_C1,2.91528,30.08562,41.26872
REF_C1,3.05722,29.80155,41.06907
REF_C1,3.19861,29.58981,41.03362
REF_C1,3.34,29.50073,40.71992
REF_C1,3.48194,29.29561,40.62101
REF_C1,3.62361,29.13151,40.39707
REF_C1,3.765,28.45197,39.71956
REF_C1,3.90694,28.26236,39.39253
REF_C1,4.04833,28.2348,39.29252
REF_C1,4.19028,27.97863,39.32457
REF_C1,4.33167,27.50787,38.51084
REF_C1,4.47333,27.40219,38.54824
REF_C1,4.615,27.29096,38.31274
REF_C1,4.75667,27.23711,38.36603
REF_C1,4.89833,27.03305,38.16084
REF_C1,5.03972,26.95125,38.03383
REF_C1,5.18111,26.83968,37.70635
REF_C1,5.32278,26.71715,37.8265
REF_C1,5.46444,26.8224,37.5836
REF_C1,5.60583,26.60874,37.57126
REF_C1,5.7475,26.54722,37.30219
REF_C1,5.88944,26.47968,37.32047
REF_C1,6.03056,26.37687,37.26179
REF_C1,6.1725,26.26652,37.19946
REF_C1,6.31417,26.06317,37.1079
REF_C1,6.45583,26.07044,36.92706
REF_C1,6.5975,26.00871,36.92656
REF_C1,6.73917,25.96487,36.81897
REF_C1,6.88056,25.85895,36.82966
REF_C1,7.02222,25.83517,36.64239
REF_C1,7.16389,25.68393,36.51934
REF_C1,7.30528,25.66128,36.55544
REF_C1,7.44667,25.61926,36.48748
REF_C1,7.58833,25.55184,36.35684
REF_C1,7.73,25.47807,36.35961
REF_C1,7.87194,25.53969,36.37771
REF_C1,8.01333,25.3302,36.26572
REF_C1,8.155,25.46984,36.18889
REF_C1,8.29639,25.27831,36.08091
REF_C1,8.43833,25.2762,36.0886
REF_C1,8.58,25.18013,36.00342
REF_C1,8.72139,25.19323,36.05837
REF_C1,8.86306,25.23218,36.02496
REF_C1,9.00444,25.10972,35.88499
REF_C1,9.14611,25.09299,35.72597
REF_C1,9.28806,24.93482,35.63615
REF_C1,9.42972,24.86708,35.56333
REF_C1,9.57111,24.9132,35.54919
REF_C1,9.71278,24.68743,35.55306
REF_C1,9.85472,24.83797,35.45769
REF_C1,9.99639,24.69298,35.38768
REF_C1,10.13778,24.55307,35.35391
REF_C1,10.27944,24.77125,35.32378
REF_C1,10.42111,24.60449,35.22671
REF_C1,10.56278,24.42246,35.23299
REF_C1,10.70417,24.46672,35.18402
REF_C1,10.84583,24.3843,35.07385
REF_C1,10.9875,24.46231,35.06023
REF_C1,11.12917,24.34347,34.95021
REF_C1,11.27083,24.30106,34.99884
REF_C1,11.41194,24.28764,35.06672
REF_C1,11.55361,24.30481,34.85723
REF_C1,11.69556,24.21528,34.84856
REF_C1,11.83694,24.10165,34.73915
REF_C1,11.97833,24.27248,34.72865
REF_C1,12.12,24.05853,34.6722
REF_C1,12.26167,24.15672,34.71218
REF_C1,12.40333,24.04924,34.70939
REF_C1,12.54528,23.90737,34.58883
REF_C1,12.68639,23.9721,34.50853
REF_C1,12.82806,23.87816,34.50057
REF_C1,12.96972,23.83017,34.45456
REF_C1,13.11139,23.82757,34.43113
REF_C1,13.25278,23.83377,34.51596
REF_C1,13.39444,23.80848,34.39794
REF_C1,13.53611,23.81514,34.49295
REF_C1,13.67806,23.73561,34.37305
REF_C1,13.81944,23.62014,34.27004
REF_C1,13.96111,23.78679,34.31139
REF_C1,14.10278,23.64071,34.26416
REF_C1,14.24444,23.61369,34.28451
REF_C1,14.38611,23.60811,34.20107
REF_C1,14.52778,23.5076,34.10339
REF_C1,14.66917,23.58059,34.12124
REF_C1,14.81056,23.50812,34.03051
REF_C1,14.95222,23.47954,34.06938
REF_C1,15.09389,23.45115,34.0397
REF_C1,15.23528,23.4356,33.94506
REF_C1,15.37694,23.5196,33.98744
REF_C1,15.51889,23.49129,33.86155
REF_C1,15.66056,23.30359,33.89963
REF_C1,15.80194,23.28622,33.99675
REF_C1,15.94361,23.2009,33.83276
REF_C1,16.08556,23.1915,33.77725
REF_C1,16.22694,23.21431,33.69423
REF_C1,16.36889,23.2122,33.69218
REF_C1,16.51028,23.2161,33.79733
REF_C1,16.65194,23.17343,33.50476
REF_C1,16.79361,23.16208,33.66189
REF_C1,16.93472,23.07187,33.69041
REF_C1,17.07639,23.02809,33.64544
REF_C1,17.21806,23.06986,33.59126
REF_C1,17.35944,23.09759,33.59968
REF_C1,17.50139,23.01088,33.62357
REF_C1,17.78472,22.92777,33.34755
REF_C1,17.92611,22.95298,33.45735
REF_C1,18.06778,23.02481,33.32068
REF_C1,18.20917,22.84304,33.48209
REF_C1,18.35083,22.84179,33.47056
REF_C1,18.4925,22.92193,33.44031
REF_C1,18.63417,22.72618,33.35495
REF_C1,18.77583,22.8165,33.40273
REF_C1,18.91722,22.91343,33.25565
REF_C1,19.05917,22.71281,33.3092
REF_C1,19.20083,22.70507,33.11296
REF_C1,19.3425,22.69724,33.14332
REF_C1,19.48389,22.80905,33.15242
REF_C1,19.62583,22.69828,33.20453
REF_C1,19.76722,22.70724,33.11491
REF_C1,19.90889,22.59698,33.13104
REF_C1,20.05028,22.65446,33.1415
REF_C1,20.19194,22.62177,33.00418
REF_C1,20.33361,22.58591,33.09904
REF_C1,20.475,22.49517,33.12148
REF_C1,20.61667,22.49048,33.01188
REF_C1,20.75833,22.53675,33.13171
REF_C1,20.89972,22.51428,32.78074
REF_C1,21.04139,22.48036,32.93819
REF_C1,21.18333,22.56784,32.81938
REF_C1,21.325,22.41011,32.90411
REF_C1,21.46639,22.45849,32.97903
REF_C1,21.60806,22.51542,32.89965
REF_C1,21.75,22.43741,33.00459
REF_C1,21.89167,22.36684,32.80464
REF_C1,22.03306,22.32714,32.91481
REF_C1,22.17472,22.31195,32.68206
REF_C1,22.31611,22.37534,32.70128
REF_C1,22.45778,22.39183,32.63868
REF_C1,22.59944,22.29004,32.60276
