Tipo,TOS [h],X_CH4 [%],X_CO2 [%]
REF_C2,24.08333,35.98299,46.54268
REF_C2,24.22472,34.85966,45.93851
REF_C2,24.36639,34.14344,45.08358
REF_C2,24.50806,33.10139,44.27144
REF_C2,24.64972,32.87852,43.93357
REF_C2,24.79167,32.27126,43.3315
REF_C2,24.93278,32.00804,43.04526
REF_C2,25.07444,31.87041,42.70124
REF_C2,25.21611,31.54369,42.39887
REF_C2,25.35778,31.31543,42.24789
REF_C2,25.49917,31.15039,41.99866
REF_C2,25.64083,30.80237,41.64237
REF_C2,25.7825,30.48288,41.53897
REF_C2,25.92417,30.45719,41.44159
REF_C2,26.06583,30.40503,41.27932
REF_C2,26.2075,30.23147,41.05605
REF_C2,26.34944,30.12503,41.04221
REF_C2,26.49111,30.02954,40.78792
REF_C2,26.63222,29.90346,40.67783
REF_C2,26.77389,29.74475,40.63251
REF_C2,26.91556,29.70714,40.48577
REF_C2,27.05694,29.63242,40.25224
REF_C2,27.19861,29.55737,40.35484
REF_C2,27.34056,29.16242,40.03396
REF_C2,27.48194,29.12449,39.86763
REF_C2,27.62361,29.16627,39.8963
REF_C2,27.76556,29.02383,39.73946
REF_C2,27.90694,28.87385,39.61698
REF_C2,28.04833,28.90717,39.57492
REF_C2,28.19028,28.8229,39.45447
REF_C2,28.33194,28.76169,39.42551
REF_C2,28.47361,28.75325,39.28575
REF_C2,28.615,28.70722,39.24338
REF_C2,28.75667,28.56442,39.18316
REF_C2,28.89833,28.57251,39.17645
REF_C2,29.03944,28.53311,39.2098
REF_C2,29.18111,28.32241,38.8657
REF_C2,29.32278,28.42628,39.0068
REF_C2,29.46444,28.44628,38.8768
REF_C2,29.60639,28.20639,39.07183
REF_C2,29.74806,28.22771,38.81712
REF_C2,29.88972,28.07655,38.72887
REF_C2,30.03111,28.06787,38.7502
REF_C2,30.17278,28.11809,38.74596
REF_C2,30.31389,28.05043,38.506
REF_C2,30.45556,28.03254,38.64746
REF_C2,30.59722,28.00917,38.5918
REF_C2,30.73889,27.94304,38.52986
REF_C2,30.88056,27.95418,38.4221
REF_C2,31.02222,27.83368,38.47218
REF_C2,31.16361,27.83485,38.66066
REF_C2,31.30528,27.82239,38.22763
