Tipo,TOS_30H2_CO2 [h],X_CH4_30H2_CO2 [%],X_CO2_30H2_CO2 [%]
30_H2_CO2_C2,39.38528,34.27279,47.17562
30_H2_CO2_C2,39.52694,34.17054,47.07908
30_H2_CO2_C2,39.66861,34.22991,47.12223
30_H2_CO2_C2,39.81,34.14245,46.94666
30_H2_CO2_C2,39.95167,34.17851,46.92527
30_H2_CO2_C2,40.09361,34.06484,47.05742
30_H2_CO2_C2,40.23528,34.12939,47.01075
30_H2_CO2_C2,40.37667,34.04176,46.72298
30_H2_CO2_C2,40.51833,33.94402,46.93533
30_H2_CO2_C2,40.66,33.93558,46.83285
30_H2_CO2_C2,40.80139,33.97589,46.88627
30_H2_CO2_C2,40.94333,33.8775,46.74691
30_H2_CO2_C2,41.08444,33.92217,46.77475
30_H2_CO2_C2,41.22639,33.95637,46.83248
30_H2_CO2_C2,41.36778,33.84854,46.66096
30_H2_CO2_C2,41.50944,33.73452,46.61928
30_H2_CO2_C2,41.65111,33.73787,46.63251
30_H2_CO2_C2,41.79278,33.74079,46.56012
30_H2_CO2_C2,41.93444,33.64762,46.61995
30_H2_CO2_C2,42.07583,33.77711,46.63214
30_H2_CO2_C2,42.2175,33.66206,46.49284
30_H2_CO2_C2,42.35917,33.67583,46.52296
30_H2_CO2_C2,42.50083,33.67409,46.52414
30_H2_CO2_C2,42.6425,33.62746,46.59193
30_H2_CO2_C2,42.78417,33.57573,46.43654
30_H2_CO2_C2,42.92583,33.60354,46.4435
30_H2_CO2_C2,43.0675,33.46543,46.30622
30_H2_CO2_C2,43.20917,33.46502,46.34802
30_H2_CO2_C2,43.35083,33.4504,46.38679
30_H2_CO2_C2,43.49222,33.36699,46.42658
30_H2_CO2_C2,43.63361,33.51691,46.15857
30_H2_CO2_C2,43.77528,33.43814,46.41989
30_H2_CO2_C2,43.91694,33.23097,46.29685
30_H2_CO2_C2,44.05833,33.39136,46.11994
30_H2_CO2_C2,44.2,33.26502,46.22531
30_H2_CO2_C2,44.34194,33.36,46.24628
30_H2_CO2_C2,44.48361,33.24108,46.19249
30_H2_CO2_C2,44.625,33.25054,46.10016
30_H2_CO2_C2,44.76667,33.20937,46.06335
30_H2_CO2_C2,44.90833,33.30418,46.12857
30_H2_CO2_C2,45.05,33.20874,45.99071
30_H2_CO2_C2,45.19139,33.14372,46.0079
30_H2_CO2_C2,45.33306,33.01939,46.07104
30_H2_CO2_C2,45.47472,33.05645,45.9344
30_H2_CO2_C2,45.61639,33.04105,45.9039
30_H2_CO2_C2,45.75806,33.10591,45.86619
30_H2_CO2_C2,45.89944,32.93362,45.90731
30_H2_CO2_C2,46.04083,32.96131,45.91755
30_H2_CO2_C2,46.18278,33.01797,45.94517
30_H2_CO2_C2,46.32444,32.91476,45.84797
30_H2_CO2_C2,46.46611,32.91391,45.61841
30_H2_CO2_C2,46.6075,32.91789,45.79007
30_H2_CO2_C2,46.74944,32.84722,45.65681
30_H2_CO2_C2,46.89111,32.89592,45.67311
30_H2_CO2_C2,47.03278,32.85767,45.76421
30_H2_CO2_C2,47.17417,32.83462,45.64209
30_H2_CO2_C2,47.31556,32.73332,45.50382
30_H2_CO2_C2,47.45722,32.72619,45.58452
30_H2_CO2_C2,47.59861,32.7408,45.71296
30_H2_CO2_C2,47.74028,32.68396,45.62755
30_H2_CO2_C2,47.88194,32.66909,45.50052
30_H2_CO2_C2,48.02361,32.64834,45.48897
30_H2_CO2_C2,48.16528,32.612,45.5607
30_H2_CO2_C2,48.30694,32.5343,45.50855
30_H2_CO2_C2,48.44861,32.58441,45.4566
30_H2_CO2_C2,48.59056,32.54842,45.59
30_H2_CO2_C2,48.73194,32.61002,45.5202
30_H2_CO2_C2,48.87361,32.63586,45.59139
4CO2_C2,24.08333,35.98299,46.54268
4CO2_C2,24.22472,34.85966,45.93851
4CO2_C2,24.36639,34.14344,45.08358
4CO2_C2,24.50806,33.10139,44.27144
4CO2_C2,24.64972,32.87852,43.93357
4CO2_C2,24.79167,32.27126,43.3315
4CO2_C2,24.93278,32.00804,43.04526
4CO2_C2,25.07444,31.87041,42.70124
4CO2_C2,25.21611,31.54369,42.39887
4CO2_C2,25.35778,31.31543,42.24789
4CO2_C2,25.49917,31.15039,41.99866
4CO2_C2,25.64083,30.80237,41.64237
4CO2_C2,25.7825,30.48288,41.53897
4CO2_C2,25.92417,30.45719,41.44159
4CO2_C2,26.06583,30.40503,41.27932
4CO2_C2,26.2075,30.23147,41.05605
4CO2_C2,26.34944,30.12503,41.04221
4CO2_C2,26.49111,30.02954,40.78792
4CO2_C2,26.63222,29.90346,40.67783
4CO2_C2,26.77389,29.74475,40.63251
4CO2_C2,26.91556,29.70714,40.48577
4CO2_C2,27.05694,29.63242,40.25224
4CO2_C2,27.19861,29.55737,40.35484
4CO2_C2,27.34056,29.16242,40.03396
4CO2_C2,27.48194,29.12449,39.86763
4CO2_C2,27.62361,29.16627,39.8963
4CO2_C2,27.76556,29.02383,39.73946
4CO2_C2,27.90694,28.87385,39.61698
4CO2_C2,28.04833,28.90717,39.57492
4CO2_C2,28.19028,28.8229,39.45447
4CO2_C2,28.33194,28.76169,39.42551
4CO2_C2,28.47361,28.75325,39.28575
4CO2_C2,28.615,28.70722,39.24338
4CO2_C2,28.75667,28.56442,39.18316
4CO2_C2,28.89833,28.57251,39.17645
4CO2_C2,29.03944,28.53311,39.2098
4CO2_C2,29.18111,28.32241,38.8657
4CO2_C2,29.32278,28.42628,39.0068
4CO2_C2,29.46444,28.44628,38.8768
4CO2_C2,29.60639,28.20639,39.07183
4CO2_C2,29.74806,28.22771,38.81712
4CO2_C2,29.88972,28.07655,38.72887
4CO2_C2,30.03111,28.06787,38.7502
4CO2_C2,30.17278,28.11809,38.74596
4CO2_C2,30.31389,28.05043,38.506
4CO2_C2,30.45556,28.03254,38.64746
4CO2_C2,30.59722,28.00917,38.5918
4CO2_C2,30.73889,27.94304,38.52986
4CO2_C2,30.88056,27.95418,38.4221
4CO2_C2,31.02222,27.83368,38.47218
4CO2_C2,31.16361,27.83485,38.66066
4CO2_C2,31.30528,27.82239,38.22763
4CO2_C2,31.44694,27.74992,38.22649
4CO2_C2,31.58861,27.63988,38.25492
4CO2_C2,31.73028,27.74863,38.34044
4CO2_C2,31.87167,27.63875,38.2997
4CO2_C2,32.01333,27.57982,38.11713
4CO2_C2,32.155,27.49416,38.07305
4CO2_C2,32.29667,27.63201,38.06488
4CO2_C2,32.43806,27.50176,37.98676
4CO2_C2,32.57972,27.45388,37.96947
4CO2_C2,32.72139,27.41882,37.95695
4CO2_C2,32.86306,27.43024,38.02557
4CO2_C2,33.00472,27.37894,37.8812
4CO2_C2,33.14639,27.38038,37.92799
4CO2_C2,33.28778,27.33533,37.72492
4CO2_C2,33.42944,27.31142,37.82074
4CO2_C2,33.57111,27.22844,37.57734
4CO2_C2,33.71278,27.18411,37.65071
4CO2_C2,33.85444,27.26045,37.7918
4CO2_C2,33.99583,27.16425,37.64258
4CO2_C2,34.13778,27.15133,37.66115
4CO2_C2,34.27917,27.12704,37.62242
4CO2_C2,34.42083,27.08365,37.59852
4CO2_C2,34.5625,27.11893,37.48594
4CO2_C2,34.70417,27.10095,37.48877
4CO2_C2,34.84611,27.07874,37.58303
4CO2_C2,34.9875,27.04067,37.4732
4CO2_C2,35.12917,27.02377,37.49643
4CO2_C2,35.27083,26.96249,37.26335
4CO2_C2,35.4125,26.88327,37.48149
4CO2_C2,35.55361,26.85676,37.39056
4CO2_C2,35.69528,26.95856,37.17479
4CO2_C2,35.83694,26.85665,37.25144
4CO2_C2,35.97833,26.79551,37.34326
4CO2_C2,36.12,26.842,37.26474
4CO2_C2,36.26167,26.80644,37.19482
4CO2_C2,36.40333,26.78425,37.17356
4CO2_C2,36.54472,26.75235,37.16811
4CO2_C2,36.68667,26.71606,37.2146
4CO2_C2,36.82833,26.75864,37.21734
4CO2_C2,36.97,26.78269,37.10378
4CO2_C2,37.11139,26.6467,37.02859
4CO2_C2,37.25333,26.6969,36.95092
4CO2_C2,37.395,26.63491,37.12424
4CO2_C2,37.53639,26.55772,36.96747
4CO2_C2,37.67806,26.62149,36.98057
4CO2_C2,37.81944,26.53586,37.00221
4CO2_C2,37.96111,26.53041,36.91395
4CO2_C2,38.10278,26.501,36.97771
