TOS_REF[h],X_CH4_REF [%],X_CO2_REF [%],,TOS_1Mn [h],X_CH4_1Mn [%],X_CO2_1Mn [%],,TOS_0.5Mn [h],X_CH4_0.5Mn [%],X_CO2_0.5Mn [%],,TOS_0.25Mn [h],X_CH4_0.25Mn [%],X_CO2_0.25 Mn [%],,TOS_1Cr [h],X_CH4_1Cr [%],X_CO2_1Cr [%],,TOS-0.5Cr [h],X_CH4_0.5Cr [%],X_CO2_0.5Cr [%],,TOS_0.25Cr [h],X_CH4_0.25Cr [%],X_CO2_0.25Cr [%],,TOS_1Fe [h],X_CH4_1Fe [%],X_CO2_1Fe [%],,TOS_0.5Fe [h],X_CH4_0.5Fe [%],X_CO2_0.5Fe [%],,TOS_0.25Fe [h],X_CH4_0.25Fe [%],X_CO2_0.25Fe [%]
2.49083,29.57922,40.9783,,2.49056,37.02769,48.416,,2.49083,36.44109,48.13148,,2.49139,37.60424,48.80397,,2.49083,39.4049,51.80572,,2.49083,35.57675,47.3164,,2.49083,37.94767,48.91976,,2.49083,28.92046,42.46598,,2.49083,41.19348,53.80882,,2.49083,42.97583,55.12907
2.6325,29.42945,40.7874,,2.6325,36.87979,48.41253,,2.6325,36.23457,47.81991,,2.6325,37.59256,48.68457,,2.63222,39.23773,51.52915,,2.63222,35.29517,47.31058,,2.63278,37.86096,48.5877,,2.6325,28.97813,42.48043,,2.63222,41.08371,53.87456,,2.63222,42.96068,55.15555
2.77389,29.52534,40.39888,,2.77389,36.76416,48.21322,,2.77417,36.20056,47.87066,,2.77444,37.09961,48.27421,,2.77417,39.14603,51.43717,,2.77389,35.28995,47.06547,,2.77389,37.73658,48.49051,,2.77417,29.07842,42.56285,,2.77389,41.14289,53.81003,,2.77389,42.77885,55.10452
2.91556,29.0489,40.42802,,2.91528,36.73931,48.27015,,2.91556,36.18192,47.72797,,2.91611,36.68431,47.70302,,2.91556,39.08835,51.30481,,2.91583,35.07105,46.85423,,2.91556,37.1444,48.03294,,2.91528,29.09869,42.64037,,2.91583,41.2155,53.86485,,2.91556,42.68949,55.07813
3.05694,29.15182,40.17055,,3.05694,36.46778,48.31277,,3.05722,36.03107,47.61166,,3.0575,36.51943,47.42708,,3.05694,38.99924,51.18959,,3.0575,34.9619,46.93165,,3.05722,37.0402,47.90027,,3.0575,29.10968,42.54181,,3.05722,41.17448,53.76076,,3.05722,42.52384,55.00904
3.19861,28.74363,39.54879,,3.19833,36.60677,48.1033,,3.19917,36.0068,47.57991,,3.19889,36.40684,47.50631,,3.19889,38.90989,51.07615,,3.19889,34.68583,46.71339,,3.19861,36.97348,47.72944,,3.19889,29.22406,42.76287,,3.19861,41.05828,53.8252,,3.19889,42.64923,54.79015
3.34028,28.63875,39.43264,,3.34,36.47192,48.04031,,3.34083,35.90514,47.4151,,3.34056,36.17022,47.23873,,3.34056,38.63855,51.02877,,3.34028,34.76678,46.40296,,3.34028,36.87366,47.73774,,3.34056,29.24108,42.79084,,3.34028,41.10054,53.83765,,3.34028,42.58354,54.9246
3.48222,28.46327,39.32886,,3.48167,36.5969,48.00264,,3.48194,35.78884,47.35947,,3.48222,36.06948,47.14282,,3.48222,38.34683,50.63012,,3.48222,34.256,46.34864,,3.48222,36.69412,47.48872,,3.48194,29.3285,42.79554,,3.48194,41.11668,53.77866,,3.48194,42.56535,54.89474
3.62361,28.20256,39.05761,,3.62333,36.18473,47.96731,,3.62389,35.6367,47.30847,,3.62389,35.89212,47.16945,,3.62389,38.18051,50.38302,,3.62361,34.29849,46.20247,,3.62389,36.47817,47.26707,,3.62361,29.33158,42.86761,,3.62361,41.1835,53.87819,,3.62361,42.44995,54.80975
3.76528,28.10273,38.99679,,3.765,36.3687,47.79509,,3.76556,35.55237,47.1977,,3.76583,35.76126,46.89154,,3.765,38.09782,50.34023,,3.76556,34.18511,46.15759,,3.76528,36.5157,47.21963,,3.76556,29.54966,43.01263,,3.76556,41.0604,53.78998,,3.765,42.40927,54.86297
3.90694,28.0584,38.99896,,3.90667,35.96996,47.76437,,3.90694,35.41156,47.11764,,3.9075,35.69968,46.77713,,3.90667,37.94903,50.13494,,3.90694,34.05107,45.86405,,3.90722,36.29847,47.13591,,3.90694,29.49486,42.85102,,3.90722,41.13799,53.76336,,3.90722,42.30864,54.62199
4.04833,27.82799,38.68676,,4.04861,36.5266,47.62807,,4.04861,35.48563,46.9562,,4.04861,35.4668,46.5183,,4.04861,37.94049,50.06215,,4.04833,33.97068,45.82127,,4.04889,36.08305,46.96407,,4.04833,29.57269,43.04735,,4.04889,41.09601,53.72849,,4.04861,42.34473,54.66475
4.19,27.72227,38.57621,,4.19,36.09874,47.68145,,4.19028,35.06765,46.72029,,4.19028,35.49923,46.5056,,4.19028,37.76396,49.90075,,4.19,33.88783,45.61514,,4.19,36.08155,46.92754,,4.19,29.51579,43.03551,,4.19,41.07659,53.81815,,4.19,42.26209,54.76881
