Tipo,TOS [h],X_CH4 [%],X_CO2 [%]
REF_C1,21.46694,22.43086,32.52479
REF_C1,21.60806,22.29028,32.46863
REF_C1,21.74972,22.39235,32.64997
REF_C1,21.89167,22.34709,32.40272
REF_C1,22.03333,22.32664,32.34031
REF_C1,22.17444,22.31885,32.56197
REF_C1,22.31611,22.13362,32.39182
REF_C1,22.45778,22.37794,32.62498
REF_C1,22.59917,22.20725,32.44213
REF_C1,22.74083,22.2566,32.32976
REF_C1,22.8825,22.35967,32.31379
REF_C1,23.02417,22.19359,32.33434
REF_C1,23.16583,22.21921,32.32216
REF_C1,23.30722,22.2079,32.35204
REF_C1,23.44889,22.16771,32.36862
REF_C1,23.59056,22.11159,32.31939
REF_C1,23.73222,22.2625,32.31998
REF_C1,23.87389,22.15766,32.25066
1Mn_C1,0.08333,39.39672,50.08827
1Mn_C1,0.22472,38.59505,50.28844
1Mn_C1,0.36639,38.52075,50.11014
1Mn_C1,0.50806,38.42068,49.88024
1Mn_C1,0.64944,37.87134,49.83273
1Mn_C1,0.79111,38.18285,49.78889
1Mn_C1,0.93306,38.19461,49.56698
1Mn_C1,1.07444,38.03596,49.44371
1Mn_C1,1.21611,37.83613,49.5493
1Mn_C1,1.35778,37.73826,49.32409
1Mn_C1,1.49944,37.64501,49.32454
1Mn_C1,1.64083,37.67105,49.07766
1Mn_C1,1.78222,37.52936,49.02374
1Mn_C1,1.92389,37.45232,49.02422
1Mn_C1,2.06556,37.34739,48.85216
1Mn_C1,2.20722,37.07303,48.60402
1Mn_C1,2.34917,36.72973,48.58782
1Mn_C1,2.49056,37.02769,48.416
1Mn_C1,2.6325,36.87979,48.41253
1Mn_C1,2.77389,36.76416,48.21322
1Mn_C1,2.91528,36.73931,48.27015
1Mn_C1,3.05694,36.46778,48.31277
1Mn_C1,3.19833,36.60677,48.1033
1Mn_C1,3.34,36.47192,48.04031
1Mn_C1,3.48167,36.5969,48.00264
1Mn_C1,3.62333,36.18473,47.96731
1Mn_C1,3.765,36.3687,47.79509
1Mn_C1,3.90667,35.96996,47.76437
1Mn_C1,4.04861,36.5266,47.62807
1Mn_C1,4.19,36.09874,47.68145
1Mn_C1,4.33167,36.08748,47.64566
1Mn_C1,4.47333,36.10702,47.61534
1Mn_C1,4.615,36.0772,47.55068
1Mn_C1,4.75611,36.0004,47.64873
1Mn_C1,4.89778,35.9697,47.49478
1Mn_C1,5.03944,35.5613,47.22062
1Mn_C1,5.18111,35.43331,47.40048
1Mn_C1,5.32278,35.44989,47.10624
1Mn_C1,5.46444,35.50801,47.06358
1Mn_C1,5.60639,35.44922,47.08068
1Mn_C1,5.74778,35.41729,47.15772
1Mn_C1,5.88944,35.39748,46.88716
1Mn_C1,6.03111,35.29427,47.05641
1Mn_C1,6.17222,35.32602,46.96465
1Mn_C1,6.31389,35.31864,46.87518
1Mn_C1,6.45556,35.15645,46.83853
1Mn_C1,6.59722,35.08349,46.88472
1Mn_C1,6.73861,35.11849,46.90316
1Mn_C1,6.88028,35.0199,46.73342
1Mn_C1,7.02222,35.05614,46.7936
1Mn_C1,7.16361,34.76998,46.67668
1Mn_C1,7.305,34.97621,46.52947
1Mn_C1,7.44694,35.00422,46.58486
1Mn_C1,7.58861,35.00401,46.67496
1Mn_C1,7.73028,34.86711,46.70743
1Mn_C1,7.87194,34.84629,46.51315
1Mn_C1,8.01333,34.67538,46.69248
1Mn_C1,8.15528,34.85684,46.52659
1Mn_C1,8.29694,34.88492,46.56627
1Mn_C1,8.43833,34.93735,46.42509
1Mn_C1,8.57972,34.8988,46.47015
1Mn_C1,8.72139,34.86338,46.31892
1Mn_C1,8.86278,34.9464,46.31751
1Mn_C1,9.00444,34.86335,46.34619
1Mn_C1,9.14611,34.75096,46.24921
1Mn_C1,9.28778,34.85808,46.15365
1Mn_C1,9.42944,34.57051,46.10316
1Mn_C1,9.57083,34.42401,46.09747
1Mn_C1,9.7125,34.44366,46.02594
1Mn_C1,9.85417,34.52873,45.94499
1Mn_C1,9.99583,34.32876,46.08086
1Mn_C1,10.1375,34.29159,46.01553
1Mn_C1,10.27889,34.27826,46.07583
1Mn_C1,10.42056,34.29233,46.02597
1Mn_C1,10.56222,34.22046,45.89
1Mn_C1,10.70389,34.12387,45.86771
1Mn_C1,10.84556,34.11094,45.87614
1Mn_C1,10.98722,34.17363,45.88262
1Mn_C1,11.12889,34.1255,45.61538
1Mn_C1,11.27028,34.15696,45.89577
