Tipo,TOS [h],X_CH4 [%],X_CO2 [%]
REF_2,0.08333,42.3219,52.45611
REF_2,0.22472,39.84504,50.49326
REF_2,0.36611,38.39468,49.23672
REF_2,0.50806,37.43349,48.23384
REF_2,0.64972,35.63914,46.75315
REF_2,0.79139,35.23096,46.02289
REF_2,0.93278,33.98423,45.50607
REF_2,1.07472,34.19573,44.5795
REF_2,1.21639,33.20872,44.17046
REF_2,1.35806,33.06688,43.7237
REF_2,1.49944,32.32906,43.20465
REF_2,1.64083,31.46922,42.5958
REF_2,1.7825,31.21811,42.06974
REF_2,1.92389,30.72612,41.39536
REF_2,2.06556,30.26705,41.08072
REF_2,2.20722,30.00208,40.78192
REF_2,2.34889,29.84447,40.4858
REF_2,2.49028,29.60482,40.51345
REF_2,2.63194,29.33351,40.05019
REF_2,2.77389,29.02698,39.76067
REF_2,2.91556,28.80796,39.51531
REF_2,3.05694,28.30784,39.47998
REF_2,3.19861,28.23522,38.97764
REF_2,3.34028,28.05447,38.69334
REF_2,3.48194,27.79869,38.66597
REF_2,3.62333,27.75642,38.31689
REF_2,3.765,27.62316,37.95614
REF_2,3.90667,27.24776,37.96086
REF_2,4.04806,27.20174,37.53785
REF_2,4.18972,26.86165,37.34965
REF_2,4.33139,26.22927,37.3329
REF_2,4.47333,26.56552,37.26982
REF_2,4.61472,26.42469,36.88669
REF_2,4.75667,26.41366,36.83494
REF_2,4.89833,26.18191,36.78074
REF_2,5.03972,26.13816,36.79727
REF_2,5.18111,25.65904,36.49632
REF_2,5.32278,25.98092,36.37337
REF_2,5.46417,25.8114,36.30576
REF_2,5.60639,25.68986,36.14618
REF_2,5.74778,25.52363,36.16457
REF_2,5.88944,25.29514,36.10489
REF_2,6.03056,25.4047,35.9344
REF_2,6.17222,25.36572,35.81829
REF_2,6.31389,25.21857,35.68375
REF_2,6.45583,25.02019,35.64482
REF_2,6.59722,25.11496,35.41863
REF_2,6.73889,24.8342,35.35986
REF_2,6.88056,25.02374,35.44264
REF_2,7.02194,24.74949,35.3953
REF_2,7.16361,24.63524,35.26024
REF_2,7.30528,24.90265,35.21983
REF_2,7.44667,24.6503,35.17095
REF_2,7.58861,24.64144,34.90306
REF_2,7.73028,24.57044,34.95754
REF_2,7.87167,24.70785,34.94131
REF_2,8.01361,24.53643,34.85432
REF_2,8.155,24.2498,34.8373
REF_2,8.29639,24.1271,34.54644
REF_2,8.43806,24.28176,34.52415
REF_2,8.57972,24.17679,34.52694
REF_2,8.72139,24.27362,34.61634
REF_2,8.86278,24.21755,34.44465
REF_2,9.00472,23.9071,34.36964
REF_2,9.14639,23.75066,34.3414
REF_2,9.28806,23.84587,34.25047
REF_2,9.42944,23.98337,34.12521
REF_2,9.57111,23.8793,34.14644
REF_2,9.71306,23.85239,34.02988
REF_2,9.85417,23.60411,33.94405
REF_2,9.99583,23.67733,34.0481
REF_2,10.1375,23.57505,33.9039
REF_2,10.27944,23.48762,33.91563
REF_2,10.42111,23.55437,33.86622
REF_2,10.56278,23.52565,34.0134
REF_2,10.70444,23.22244,33.92488
REF_2,10.84611,23.25649,33.7546
REF_2,10.98778,23.47142,33.66729
REF_2,11.12917,23.41664,33.49651
REF_2,11.27056,23.30801,33.65106
REF_2,11.4125,23.36303,33.46638
REF_2,11.55389,23.16968,33.41356
REF_2,11.69528,23.16157,33.47804
REF_2,11.83694,23.33217,33.4366
REF_2,11.97861,23.04043,33.39049
REF_2,12.12028,23.03572,33.31888
REF_2,12.26167,23.02344,33.20847
REF_2,12.40361,22.78328,33.11211
REF_2,12.54528,22.99957,33.29295
REF_2,12.68694,23.11461,33.27381
REF_2,12.82833,22.77831,33.15291
REF_2,12.97028,22.84294,33.16384
REF_2,13.11194,23.13937,33.07178
REF_2,13.25361,22.7211,33.07463
REF_2,13.395,22.76023,33.0289
REF_2,13.53639,22.74581,33.04032
REF_2,13.67806,22.74108,33.27515
REF_2,13.81944,22.77532,32.99438
REF_2,13.96111,22.63437,32.95295
REF_2,14.10278,22.57665,32.77917
REF_2,14.24472,22.649,32.81977
REF_2,14.38611,22.73005,32.88934
REF_2,14.52806,22.61839,32.91297
REF_2,14.66972,22.6751,32.84656
REF_2,14.81083,22.4527,32.79785
REF_2,14.9525,22.17074,32.66353
REF_2,15.09389,22.63428,32.79145
REF_2,15.23611,22.67106,32.79732
REF_2,15.3775,22.43287,32.8089
REF_2,15.51917,22.36833,32.61576
REF_2,15.66083,22.57199,32.72843
REF_2,15.80222,22.46061,32.57529
REF_2,15.94361,22.31305,32.83778
REF_2,16.08528,22.27494,32.58556
REF_2,16.22694,22.22934,32.49076
REF_2,16.36861,22.52678,32.44412
REF_2,16.51028,22.33694,32.53939
REF_2,16.65194,22.24032,32.69757
REF_2,16.79361,22.25308,32.59526
REF_2,16.93528,22.08851,32.3787
REF_2,17.07667,22.16856,32.41324
REF_2,17.21833,22.19745,32.40706
REF_2,17.36028,22.12459,32.25271
REF_2,17.50167,22.1298,32.39106
REF_2,17.64306,22.16387,32.38299
REF_2,17.78472,22.24725,32.38836
REF_2,17.92639,22.07022,32.17567
REF_2,18.06778,22.07379,32.24351
REF_2,18.20944,22.08732,32.17621
REF_2,18.35111,21.83707,32.40377
REF_2,18.49278,21.95123,32.33341
REF_2,18.63417,21.92166,32.29496
REF_2,18.77639,21.71406,32.22
REF_2,18.9175,21.88891,32.21427
REF_2,19.05917,21.73896,32.16748
REF_2,19.20083,22.01114,32.32085
REF_2,19.34222,21.82589,32.21417
REF_2,19.48417,21.85442,32.22139
REF_2,19.62583,21.81082,31.9964
REF_2,19.76722,21.62663,31.9158
REF_2,19.90917,21.47013,31.94773
REF_2,20.05083,21.69587,31.88294
REF_2,20.1925,21.55125,31.88818
REF_2,20.33361,21.5482,31.81826
REF_2,20.47528,21.7133,31.89056
REF_2,20.61694,21.6918,31.71042
REF_2,20.75833,21.52024,31.89852
REF_2,20.9,21.46772,31.64824
REF_2,21.04167,21.5099,31.79116
REF_2,21.18361,21.50915,31.69365
REF_2,21.325,21.42832,31.68585
REF_2,21.46667,21.40217,31.97285
REF_2,21.60861,21.1932,31.71624
REF_2,21.75028,21.29845,31.65799
REF_2,21.89167,21.37607,31.70535
REF_2,22.03333,21.64204,31.61065
REF_2,22.17472,21.42954,31.72895
REF_2,22.31611,21.54804,31.46804
REF_2,22.45778,21.42785,31.62403
REF_2,22.59944,21.22585,31.65681
REF_2,22.74111,21.45903,31.61427
REF_2,22.8825,21.22353,31.58926
REF_2,23.02444,21.17841,31.6039
REF_2,23.16611,21.2072,31.48426
REF_2,23.3075,21.25144,31.39709
REF_2,23.44944,21.07385,31.62746
REF_2,23.59111,21.19716,31.52806
REF_2,23.73278,21.3389,31.33621
REF_2,23.87417,21.24939,31.48383
1Mn_2,0.08333,35.18633,46.67797
1Mn_2,0.22528,34.94925,46.33398
1Mn_2,0.36639,34.83233,46.10722
1Mn_2,0.50806,34.48789,46.03192
1Mn_2,0.64972,34.41209,45.72054
1Mn_2,0.79167,34.17356,45.70586
1Mn_2,0.93306,34.20483,45.50649
1Mn_2,1.07444,33.95682,45.43429
1Mn_2,1.21611,33.84806,45.14529
1Mn_2,1.3575,33.5691,44.96606
1Mn_2,1.49917,33.62045,45.14616
1Mn_2,1.64111,33.35312,44.8208
1Mn_2,1.7825,33.14555,44.69518
1Mn_2,1.92417,33.09605,44.63354
1Mn_2,2.06583,33.04736,44.47199
1Mn_2,2.2075,33.00135,44.31091
1Mn_2,2.34917,32.80055,44.20989
1Mn_2,2.49083,32.66558,44.0061
1Mn_2,2.6325,32.6163,44.09971
1Mn_2,2.77417,32.50672,43.83549
1Mn_2,2.91583,32.32396,43.73631
1Mn_2,3.05694,32.26541,43.69983
1Mn_2,3.19861,32.14261,43.41768
1Mn_2,3.34,32.13425,43.33613
1Mn_2,3.48167,31.97292,43.28724
1Mn_2,3.62361,31.9857,43.14561
1Mn_2,3.76528,31.73856,43.14489
1Mn_2,3.90667,31.89329,43.0257
1Mn_2,4.04833,31.6494,43.06108
1Mn_2,4.19,31.5638,42.85384
1Mn_2,4.33167,31.61006,42.85193
1Mn_2,4.47306,31.5782,42.95905
1Mn_2,4.615,31.46697,42.78357
1Mn_2,4.75667,31.30854,42.58455
1Mn_2,4.89778,31.02768,42.27633
1Mn_2,5.03944,30.9098,42.0651
1Mn_2,5.18111,30.83955,41.97536
1Mn_2,5.32306,30.78045,41.96773
1Mn_2,5.46444,30.72524,41.71516
1Mn_2,5.60583,30.57375,41.74012
1Mn_2,5.7475,30.54866,41.87288
1Mn_2,5.88944,30.48398,41.75546
1Mn_2,6.03083,30.5541,41.74786
1Mn_2,6.1725,30.47654,41.53214
1Mn_2,6.31417,30.33384,41.76351
1Mn_2,6.45583,30.25433,41.53151
1Mn_2,6.5975,30.17122,41.496
1Mn_2,6.73889,30.19954,41.2973
1Mn_2,6.88083,30.05558,41.3428
1Mn_2,7.0225,30.07285,41.25287
1Mn_2,7.16417,29.95518,41.20152
1Mn_2,7.30556,29.9575,41.10454
1Mn_2,7.44722,29.87641,40.99157
1Mn_2,7.58861,29.74639,40.9438
1Mn_2,7.73028,29.74938,40.86931
1Mn_2,7.87194,29.75475,40.93803
1Mn_2,8.01333,29.67105,40.77473
1Mn_2,8.155,29.62531,40.63435
1Mn_2,8.29639,29.65443,40.72149
1Mn_2,8.43806,29.58693,40.6205
1Mn_2,8.57972,29.53498,40.47629
1Mn_2,8.72139,29.51333,40.59964
1Mn_2,8.86306,29.49083,40.51748
1Mn_2,9.00444,29.41429,40.39208
1Mn_2,9.14611,29.32611,40.40937
1Mn_2,9.28778,29.32762,40.3143
1Mn_2,9.42972,29.2642,40.3405
1Mn_2,9.57111,29.19348,40.23508
1Mn_2,9.71278,29.09551,40.2519
1Mn_2,9.85444,28.96055,39.9719
1Mn_2,9.99583,28.95408,39.93668
1Mn_2,10.1375,28.80452,39.94146
1Mn_2,10.27917,28.85972,39.8498
1Mn_2,10.42056,28.88832,39.92472
1Mn_2,10.56222,28.74395,39.91981
1Mn_2,10.70389,28.67764,39.76145
1Mn_2,10.84528,28.68576,39.68379
1Mn_2,10.98694,28.5902,39.44633
1Mn_2,11.12889,28.50833,39.74408
1Mn_2,11.27028,28.4713,39.59598
1Mn_2,11.41194,28.43395,39.42279
1Mn_2,11.55333,28.33676,39.32078
1Mn_2,11.695,28.31537,39.47031
1Mn_2,11.83694,28.26305,39.34509
1Mn_2,11.97861,28.24826,39.33227
1Mn_2,12.11972,28.12243,39.30622
1Mn_2,12.26139,28.2035,39.14345
1Mn_2,12.40306,28.09641,39.1426
1Mn_2,12.54444,28.08473,39.08419
1Mn_2,12.68611,27.98504,38.95938
1Mn_2,12.82778,27.98396,38.9028
1Mn_2,12.96972,27.89669,39.03946
1Mn_2,13.11111,27.93035,38.93356
1Mn_2,13.25278,27.84684,38.80165
1Mn_2,13.39444,27.73577,38.85124
1Mn_2,13.53583,27.68794,38.66574
1Mn_2,13.6775,27.86295,38.74411
1Mn_2,13.81917,27.71955,38.76811
1Mn_2,13.96056,27.63655,38.69814
1Mn_2,14.10222,27.52147,38.64424
1Mn_2,14.24389,27.55757,38.48938
1Mn_2,14.38583,27.63647,38.50819
1Mn_2,14.52722,27.57888,38.39976
1Mn_2,14.66889,27.42325,38.45039
1Mn_2,14.81083,27.3443,38.44339
1Mn_2,14.95222,27.37719,38.44513
1Mn_2,15.09389,27.34579,38.39744
1Mn_2,15.23556,27.33935,38.23589
1Mn_2,15.37667,27.23749,38.37368
1Mn_2,15.51833,27.25612,38.21281
1Mn_2,15.66,27.12515,38.19988
1Mn_2,15.80167,27.09138,38.20679
1Mn_2,15.94333,27.12598,37.99755
1Mn_2,16.085,27.01581,38.06783
1Mn_2,16.22667,26.95053,38.07514
1Mn_2,16.36806,27.06711,38.05312
1Mn_2,16.50972,26.94329,38.07774
1Mn_2,16.65139,26.89226,37.95419
1Mn_2,16.79306,26.92171,37.82793
1Mn_2,16.93472,26.7849,37.93593
1Mn_2,17.07639,26.79062,37.92974
1Mn_2,17.21806,26.72832,37.82831
1Mn_2,17.35944,26.71166,37.72983
1Mn_2,17.50111,26.73109,37.69507
1Mn_2,17.6425,26.63282,37.73363
1Mn_2,17.78417,26.64721,37.64384
1Mn_2,17.92583,26.60171,37.49604
1Mn_2,18.06722,26.51984,37.55609
1Mn_2,18.20889,26.56646,37.59613
1Mn_2,18.35083,26.64841,37.41519
1Mn_2,18.4925,26.52912,37.49587
1Mn_2,18.63417,26.48534,37.41766
1Mn_2,18.77583,26.45956,37.40454
1Mn_2,18.9175,26.37919,37.3749
1Mn_2,19.05861,26.39144,37.32776
1Mn_2,19.20028,26.25169,37.31811
1Mn_2,19.34194,26.32331,37.37316
1Mn_2,19.48389,26.33123,37.08371
1Mn_2,19.625,26.32351,37.25354
1Mn_2,19.76667,26.20865,37.26841
1Mn_2,19.90861,26.17965,37.10197
1Mn_2,20.05,26.19801,37.10569
1Mn_2,20.19194,26.18161,37.04938
1Mn_2,20.33361,26.10359,37.06726
1Mn_2,20.47472,25.98485,37.07667
1Mn_2,20.61639,26.15131,37.03175
1Mn_2,20.75806,25.96276,37.1021
1Mn_2,20.89972,25.97975,36.99316
1Mn_2,21.04167,25.92985,36.99154
1Mn_2,21.18278,26.11309,36.86834
1Mn_2,21.32444,25.60679,36.67253
1Mn_2,21.46583,25.67576,36.7766
1Mn_2,21.6075,25.57651,36.56883
1Mn_2,21.74972,25.70538,36.55502
1Mn_2,21.89139,25.50032,36.59554
1Mn_2,22.0325,25.53315,36.45359
1Mn_2,22.17417,25.40661,36.532
1Mn_2,22.31556,25.48756,36.3596
1Mn_2,22.45722,25.34831,36.33485
1Mn_2,22.59889,25.35727,36.43626
1Mn_2,22.74083,25.55756,36.46323
1Mn_2,22.88222,25.42861,36.17807
1Mn_2,23.02389,25.34796,36.29976
1Mn_2,23.16583,25.3217,36.3229
1Mn_2,23.30694,25.31822,36.16734
1Mn_2,23.44861,25.26537,36.14116
1Mn_2,23.59028,25.31508,36.14529
1Mn_2,23.73194,25.22726,36.21222
0.5Mn_2,0.08333,42.96205,54.34326
0.5Mn_2,0.22472,42.24336,53.74161
0.5Mn_2,0.36667,41.96133,53.52986
0.5Mn_2,0.50806,41.85808,53.17676
0.5Mn_2,0.64972,41.65676,53.16907
0.5Mn_2,0.79111,41.69165,52.91976
0.5Mn_2,0.93306,41.37985,52.69462
0.5Mn_2,1.07472,41.19825,52.55275
0.5Mn_2,1.21611,40.89983,52.39805
0.5Mn_2,1.35806,40.91256,52.25235
0.5Mn_2,1.49972,40.74063,52.1003
0.5Mn_2,1.64083,40.1462,51.67456
0.5Mn_2,1.7825,40.21151,51.54546
0.5Mn_2,1.92417,40.15823,51.40268
0.5Mn_2,2.06583,40.08119,51.40336
0.5Mn_2,2.20778,39.86408,51.34152
0.5Mn_2,2.34889,39.95361,51.09738
0.5Mn_2,2.49056,39.72733,51.05974
0.5Mn_2,2.6325,39.54625,50.93363
0.5Mn_2,2.77389,39.46726,50.94963
0.5Mn_2,2.91528,39.32086,50.83231
0.5Mn_2,3.05694,39.11196,50.77809
0.5Mn_2,3.19917,39.09555,50.82225
0.5Mn_2,3.34028,38.50278,50.90555
0.5Mn_2,3.48222,38.9079,50.81861
0.5Mn_2,3.62333,38.88487,50.59279
0.5Mn_2,3.765,38.83735,50.60547
0.5Mn_2,3.90667,38.90802,50.56756
0.5Mn_2,4.04833,38.49106,50.58246
0.5Mn_2,4.19,38.62013,50.33753
0.5Mn_2,4.33167,38.35065,50.48917
0.5Mn_2,4.47361,38.36516,50.3741
0.5Mn_2,4.61472,38.3142,50.16195
0.5Mn_2,4.75639,38.31149,50.25044
0.5Mn_2,4.89778,38.19104,49.96135
0.5Mn_2,5.03944,38.05547,50.05479
0.5Mn_2,5.18139,38.17179,49.88342
0.5Mn_2,5.32306,37.95921,49.70729
0.5Mn_2,5.46472,37.94631,49.79306
0.5Mn_2,5.60611,37.86176,49.5528
0.5Mn_2,5.74778,37.84818,49.765
0.5Mn_2,5.88944,37.65275,49.65477
0.5Mn_2,6.03111,37.74996,49.52432
0.5Mn_2,6.1725,37.71715,49.3264
0.5Mn_2,6.31417,37.6404,49.39236
0.5Mn_2,6.45583,37.4414,49.29409
0.5Mn_2,6.5975,37.38698,49.23865
0.5Mn_2,6.73917,37.27386,49.36004
0.5Mn_2,6.88083,37.38416,49.23228
0.5Mn_2,7.02222,37.26228,49.09197
0.5Mn_2,7.16389,37.23358,48.99397
0.5Mn_2,7.30583,37.12646,48.77069
0.5Mn_2,7.44694,37.18202,48.97669
0.5Mn_2,7.58861,37.24606,48.74173
0.5Mn_2,7.73,36.90039,48.79015
0.5Mn_2,7.87167,37.10151,48.56186
0.5Mn_2,8.01361,36.94822,48.89464
0.5Mn_2,8.15528,36.89812,48.68539
0.5Mn_2,8.29667,36.9603,48.6766
0.5Mn_2,8.43833,36.80987,48.48266
0.5Mn_2,8.58028,36.88285,48.50293
0.5Mn_2,8.72194,36.68465,48.41573
0.5Mn_2,8.86333,36.76248,48.33163
0.5Mn_2,9.005,36.55715,48.23693
0.5Mn_2,9.14667,36.83178,48.2548
0.5Mn_2,9.28806,36.60878,48.17007
0.5Mn_2,9.42972,36.5509,48.15935
0.5Mn_2,9.57139,36.46252,48.13403
0.5Mn_2,9.71278,36.48431,47.93886
0.5Mn_2,9.85444,36.2956,47.97647
0.5Mn_2,9.99611,36.292,47.9061
0.5Mn_2,10.13778,36.2375,47.91045
0.5Mn_2,10.27972,36.0897,47.98098
0.5Mn_2,10.42111,36.23141,47.70795
0.5Mn_2,10.56278,36.17733,47.58981
0.5Mn_2,10.70444,35.98228,47.60655
0.5Mn_2,10.84611,35.92206,47.66967
0.5Mn_2,10.98778,35.96858,47.51173
0.5Mn_2,11.12917,35.85655,47.52222
0.5Mn_2,11.27083,35.79106,47.61954
0.5Mn_2,11.41278,35.68969,47.51611
0.5Mn_2,11.55417,35.69474,47.39756
0.5Mn_2,11.69583,35.74267,47.2033
0.5Mn_2,11.8375,35.47722,47.24015
0.5Mn_2,11.97917,35.5791,47.21557
0.5Mn_2,12.12083,35.74165,46.98832
0.5Mn_2,12.26222,35.56226,47.24879
0.5Mn_2,12.40361,35.53088,47.18116
0.5Mn_2,12.54528,35.45673,47.01986
0.5Mn_2,12.68667,35.35881,47.10186
0.5Mn_2,12.82833,35.43215,47.06124
0.5Mn_2,12.97,35.07057,47.10535
0.5Mn_2,13.11167,35.20111,46.83977
0.5Mn_2,13.25333,35.18516,46.86019
0.5Mn_2,13.395,35.16046,46.81973
0.5Mn_2,13.53639,35.09239,46.69206
0.5Mn_2,13.67806,35.04315,46.76137
0.5Mn_2,13.82,35.24584,46.60419
0.5Mn_2,13.96139,34.98797,46.60745
0.5Mn_2,14.10306,35.03606,46.59835
0.5Mn_2,14.245,34.90497,46.58945
0.5Mn_2,14.38611,34.86441,46.54478
0.5Mn_2,14.52778,34.75365,46.57754
0.5Mn_2,14.66972,34.8656,46.47726
0.5Mn_2,14.81139,34.80526,46.3029
0.5Mn_2,15.09444,34.5663,46.37064
0.5Mn_2,15.23583,34.77786,46.19085
0.5Mn_2,15.37778,34.72086,46.1097
0.5Mn_2,15.51889,34.72558,45.98348
0.5Mn_2,15.66056,34.51625,46.16835
0.5Mn_2,15.80278,34.53482,46.15276
0.5Mn_2,15.94389,34.47333,46.07529
0.5Mn_2,16.08556,34.45431,46.06799
0.5Mn_2,16.22694,34.39463,46.027
0.5Mn_2,16.36889,34.27272,46.00104
0.5Mn_2,16.51056,34.34797,45.89765
0.5Mn_2,16.65194,34.17084,45.93917
0.5Mn_2,16.79389,34.18743,45.8973
0.5Mn_2,16.93556,34.26732,45.81853
0.5Mn_2,17.07722,34.10771,45.66159
0.5Mn_2,17.21861,34.15515,45.66782
0.5Mn_2,17.36,33.96861,45.71841
0.5Mn_2,17.50167,34.21477,45.68995
0.5Mn_2,17.64306,34.00363,45.61232
0.5Mn_2,17.78472,33.9663,45.61144
0.5Mn_2,17.92639,34.02662,45.61219
0.5Mn_2,18.06806,34.03428,45.64873
0.5Mn_2,18.20944,33.97073,45.46138
0.5Mn_2,18.35139,34.10398,45.46203
0.5Mn_2,18.49306,33.79136,45.50038
0.5Mn_2,18.63444,33.306,44.89346
0.5Mn_2,18.77639,33.25527,44.86477
0.5Mn_2,18.91806,33.1938,44.73737
0.5Mn_2,19.05972,33.23156,44.6007
0.5Mn_2,19.20111,33.23546,44.66508
0.5Mn_2,19.3425,33.15938,44.6395
0.5Mn_2,19.48444,33.15948,44.5818
0.5Mn_2,19.62611,33.19147,44.51171
0.5Mn_2,19.7675,33.08874,44.52005
0.5Mn_2,19.90944,33.04922,44.64257
0.5Mn_2,20.05056,33.00886,44.52476
0.5Mn_2,20.19222,32.98565,44.40168
0.5Mn_2,20.33361,32.94576,44.56335
0.5Mn_2,20.47556,32.98957,44.55512
0.5Mn_2,20.61722,32.89519,44.38889
0.5Mn_2,20.75861,32.9117,44.39921
0.5Mn_2,20.90028,32.74858,44.23902
0.5Mn_2,21.04194,32.74937,44.32862
0.5Mn_2,21.18389,32.76036,44.32445
0.5Mn_2,21.325,32.78173,44.19576
0.5Mn_2,21.46667,32.67459,44.24702
0.5Mn_2,21.60833,32.70543,44.08828
0.5Mn_2,21.74972,32.6241,43.95418
0.5Mn_2,21.89139,32.74628,44.0722
0.5Mn_2,22.03306,32.60439,44.13114
0.5Mn_2,22.175,32.61384,44.14632
0.5Mn_2,22.31639,32.53978,44.06487
0.5Mn_2,22.45806,32.43714,44.05045
0.5Mn_2,22.59972,32.55803,43.87236
0.5Mn_2,22.74111,32.40016,43.94971
0.5Mn_2,22.88278,32.48064,43.92334
0.5Mn_2,23.02417,32.48567,43.87444
0.5Mn_2,23.16611,32.30395,43.9142
0.5Mn_2,23.30778,32.34558,43.90603
0.5Mn_2,23.44944,32.42712,43.75366
0.5Mn_2,23.59111,32.32171,43.76448
0.5Mn_2,23.7325,32.12684,43.74092
0.5Mn_2,23.87417,32.22183,43.66944
0.25Mn_2,0.08333,43.29675,54.76412
