TOS [min],c_CO2 [vol%],c_CO [vol%],Degree of oxidation [%]
13.5,9.34278,0.11813,55.66382
13.58333,9.34306,0.11635,55.7698
13.66667,9.32612,0.10984,55.87203
13.75,9.33967,0.11385,55.97313
13.83333,9.32836,0.11015,56.07437
13.91667,9.31851,0.10963,56.1737
14,9.32811,0.11172,56.27374
14.08333,9.34439,0.11238,56.37502
14.16667,9.32607,0.10712,56.47423
14.25,9.3377,0.1104,56.57254
14.33333,9.35864,0.11828,56.67589
14.41667,9.33188,0.10716,56.77778
14.5,9.32065,0.10227,56.87243
14.58333,9.34619,0.10782,56.96739
14.66667,9.52536,0.16623,57.09125
14.75,9.34517,0.11006,57.21612
14.83333,9.3103,0.09962,57.31089
14.91667,9.33651,0.10554,57.40361
15,9.3475,0.10538,57.49894
15.08333,9.34192,0.10536,57.59418
15.16667,9.33464,0.10566,57.68956
15.25,9.33942,0.10492,57.78473
15.33333,9.35132,0.10961,57.88169
15.41667,9.36151,0.10886,57.98044
15.5,9.31391,0.09518,58.07265
15.58333,9.3324,0.10223,58.16187
15.66667,9.34206,0.10364,58.25491
15.75,9.34199,0.10446,58.34897
15.83333,9.34097,0.1023,58.44241
15.91667,9.3305,0.09497,58.53157
16,9.33079,0.09789,58.61873
16.08333,9.3322,0.09937,58.70789
16.16667,9.31892,0.09629,58.79632
16.25,9.34213,0.0981,58.88418
16.33333,9.35434,0.10246,58.97482
16.41667,9.334,0.09555,59.06431
16.5,9.35739,0.10393,59.15447
16.58333,9.3317,0.09805,59.24576
16.66667,9.34926,0.10059,59.33554
16.75,9.35086,0.10032,59.42634
16.83333,9.36937,0.10537,59.51931
16.91667,9.34566,0.09875,59.61156
17,9.35687,0.10023,59.7015
17.08333,9.36118,0.09881,59.79146
17.16667,9.3438,0.09695,59.87993
17.25,9.34686,0.09724,59.9677
17.33333,9.36478,0.10077,60.0572
17.41667,9.35996,0.09691,60.14654
17.5,9.34714,0.09548,60.23349
17.58333,9.36252,0.09989,60.32179
17.66667,9.35024,0.09732,60.41092
17.75,9.34286,0.09446,60.4976
17.83333,9.33254,0.09368,60.58264
17.91667,9.34196,0.09468,60.66777
18,9.3572,0.09644,60.75415
18.08333,9.34654,0.0957,60.84099
18.16667,9.36225,0.09699,60.92808
18.25,9.37467,0.10076,61.01746
18.33333,9.38649,0.10328,61.10968
18.41667,9.36196,0.09651,61.19997
18.5,9.36189,0.09758,61.28769
18.58333,9.35252,0.09608,61.37522
18.66667,9.35633,0.09424,61.46123
18.75,9.37251,0.09687,61.54761
18.83333,9.39297,0.10249,61.63771
18.91667,9.37363,0.09762,61.72815
19,9.35334,0.09458,61.81502
19.08333,9.34984,0.0916,61.89917
19.16667,9.37699,0.09936,61.98547
19.25,9.37723,0.09872,62.075
19.33333,9.37003,0.09455,62.16235
19.41667,9.36182,0.09346,62.24733
19.5,9.34749,0.09083,62.33062
19.58333,9.36363,0.09396,62.41414
19.66667,9.36085,0.09245,62.49839
19.75,9.37242,0.09612,62.58362
19.83333,9.37446,0.09794,62.67132
19.91667,9.36568,0.09644,62.75918
20,9.35322,0.08823,62.84264
20.08333,9.37418,0.09483,62.92537
20.16667,9.38542,0.09571,63.01149
20.25,9.40468,0.10185,63.10078
